연월,총엄무건수,"PC
홈페이지",모바일웹,계약조회_SUM,계약조회_PC,계약조회_모바일,계약조회_APP,배서_SUM,배서_PC,배서_모바일,배서_APP,증명서SUM,증명서_PC,증명서_모바일,증명서_APP,보상SUM,보상SUM_PC,보상SUM_모바일,보상SUM_APP,대출SUM,대출_PC,대출_모바일,대출_APP, MAU ,APP
201901,"2,498",617,"1,412",877,191,538,147,308,70,211,28,105,73,24,9,712,179,328,206,496,104,312,80,63,469
201902,"2,018",470,987,702,156,405,141,260,59,180,22,86,53,12,20,575,112,166,298,395,90,225,80,84,561
201903,"2,183",493,856,602,165,260,177,344,63,234,47,100,58,13,29,653,112,139,402,484,95,211,178,126,833
201904,"2,353",515,698,618,160,217,240,288,59,194,36,113,66,10,38,890,117,122,651,444,114,156,174,179,"1,139"
201905,"2,425",524,695,620,159,196,265,311,59,208,44,129,77,10,41,894,113,127,655,470,116,155,200,193,"1,206"
201906,"2,156",453,547,562,139,138,286,302,54,185,63,109,57,7,44,744,101,103,540,439,103,115,222,202,"1,155"
201907,"2,277",496,614,614,154,153,307,349,61,217,71,111,56,8,47,729,113,110,505,474,111,127,237,220,"1,168"
201908,"2,238",479,586,622,152,152,319,332,58,200,74,113,53,8,52,706,111,107,488,465,105,120,240,227,"1,173"
201909,"2,156",462,569,614,152,146,316,331,56,205,70,112,54,8,50,656,100,97,459,442,99,114,229,227,"1,125"
201910,"2,413",470,632,666,153,159,355,353,58,214,81,109,45,8,56,771,107,119,545,513,107,132,274,248,"1,311"
201911,"2,443",453,644,661,147,154,360,368,57,227,84,108,42,8,58,804,108,127,569,501,99,128,274,261,"1,346"
201912,"2,768",501,686,731,163,161,407,384,61,230,93,124,49,9,66,"1,025",129,165,732,504,100,121,282,294,"1,580"
202001,"3,063",558,707,768,168,169,431,360,58,201,100,148,63,13,72,"1,296",175,211,910,491,93,113,285,318,"1,798"
202002,"2,490",480,619,696,157,149,389,361,58,214,88,122,49,10,64,824,120,133,570,487,95,113,280,279,"1,391"
202003,"2,515",480,652,761,172,164,424,409,65,252,93,122,44,9,69,672,94,102,476,551,105,126,320,276,"1,383"
202004,"2,541",459,728,736,162,156,417,499,64,348,87,125,47,9,69,706,94,109,504,475,92,106,277,276,"1,354"
202005,"2,707",494,772,796,176,158,462,535,68,384,83,144,60,10,74,764,102,116,546,467,88,103,277,294,"1,441"
202006,"2,671",458,791,769,162,150,458,562,65,414,83,123,43,8,72,740,99,118,522,477,90,101,286,298,"1,422"
202007,"2,676",441,776,765,154,148,464,548,63,399,85,125,40,9,76,752,96,118,537,486,88,102,296,309,"1,459"
202008,"2,688",425,796,768,150,150,469,564,62,416,86,119,36,8,75,746,92,120,534,490,86,102,302,311,"1,467"
202009,"2,786",457,831,802,164,154,484,600,67,447,86,151,49,8,93,764,94,127,542,469,83,95,291,313,"1,497"
202010,"2,860",465,827,857,173,164,520,579,60,427,91,167,55,8,104,765,91,126,548,492,86,102,305,324,"1,568"
202011,"2,833",438,832,827,158,158,511,579,56,434,89,154,47,8,100,781,92,133,556,492,85,99,308,325,"1,563"
202012,"3,158",490,940,905,174,176,555,654,62,495,96,211,54,9,148,890,111,159,619,499,88,101,310,347,"1,728"
