코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),22년1Q 호실적 100기업,2Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 18년->21년 3년간 YOY,매출액 연환산 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 21년 YOY,매출액 21년2Q YOY,매출액 21년3Q YOY,매출액 21년4Q YOY,매출액 22년1Q YOY,매출액 22년2Q(E) YOY,매출액 21년2Q QOQ,매출액 21년3Q QOQ,매출액 21년4Q QOQ,매출액 22년1Q QOQ,매출액 22년2Q(E) QOQ,영업이익 18년->21년 3년간 YOY,영업이익 연환산 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 21년 YOY,영업이익 21년2Q YOY,영업이익 21년3Q YOY,영업이익 21년4Q YOY,영업이익 22년1Q YOY,영업이익 22년2Q(E) YOY,영업이익 21년2Q QOQ,영업이익 21년3Q QOQ,영업이익 21년4Q QOQ,영업이익 22년1Q QOQ,영업이익 22년2Q(E) QOQ,순이익 18년->21년 3년간 YOY,순이익 연환산 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 21년 YOY,순이익 21년2Q YOY,순이익 21년3Q YOY,순이익 21년4Q YOY,순이익 22년1Q YOY,순이익 22년2Q(E) YOY,순이익 21년2Q QOQ,순이익 21년3Q QOQ,순이익 21년4Q QOQ,순이익 22년1Q QOQ,순이익 22년2Q(E) QOQ,EPS 18년->21년 3년간 YOY,EPS 연환산 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 21년 YOY,EPS 21년2Q YOY,EPS 21년3Q YOY,EPS 21년4Q YOY,EPS 22년1Q YOY,EPS 22년2Q(E) YOY,EPS 21년2Q QOQ,EPS 21년3Q QOQ,EPS 21년4Q QOQ,EPS 22년1Q QOQ,EPS 22년2Q(E) QOQ,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,21년 매출액,21년 영업이익,21년 순이익,18년 EPS,19년 EPS,20년 EPS,21년 EPS,매출액 20년2Q,매출액 20년3Q,매출액 20년4Q,매출액 21년1Q,매출액 21년2Q,매출액 21년3Q,매출액 21년4Q,매출액 22년1Q,영업이익 20년2Q,영업이익 20년3Q,영업이익 20년4Q,영업이익 21년1Q,영업이익 21년2Q,영업이익 21년3Q,영업이익 21년4Q,영업이익 22년1Q,순이익 20년2Q,순이익 20년3Q,순이익 20년4Q,순이익 21년1Q,순이익 21년2Q,순이익 21년3Q,순이익 21년4Q,순이익 22년1Q,EPS 20년2Q,EPS 20년3Q,EPS 20년4Q,EPS 21년1Q,EPS 21년2Q,EPS 21년3Q,EPS 21년4Q,EPS 22년1Q,EPS 22년2Q(E),발표치 22년2Q  매출액,발표치 22년2Q  영업이익,발표치 22년2Q  순이익,
A000020,동화약품,제약 및 바이오,제약,코스피,10800,3017,2793,25,0.9,0,-2.3,-1.8,19.3,-14.3,-4,-35.1,-26,15,35.44,51.6,52.36,5.3,8.61,10.61,5.77,6.14,7.9,5.11,3.97,6.9,4.54,16.58,6.84,0.98,0.98,0.88,-0.385553,-3.69231,14.86,1.87,0.54,1.1,0.87,14.3,16.89,17.08,17.08,14.4,4.97,11.41,11.43,8.33,42.76,249,295.63,28,29,207,4,27.88,1.67,61.05,2.17,0.92,0.52,0.03254,0.93093,997,3465,2287,357,717,56,4462,3065,264,177,12403,632,386,1582,438,-200,-78,256,180,14.78,20.31,16.49,-27.24,-10.38,9050,12600,11250,16650,14600,20050,9050,0,1,0,0,54,19,0,0.11,0.11,0.01,0.31,0.31,0.14,0.54,0.68,0.18,1.98,2.16,0.22,2.61,2.83,114,61,0.50684,-12,-41,907,1,0,0,0,0,9470,6349,0,0,20220513,5.8,0.2,-46.7,10.3,-6.7,-49.6,-46.9,4.8,5.1,5.1,28.6,73,43,182,1,1,0,1,0,0,0,1,1,5,-4.4,10.7,0.2,-11.4,7.7,8.5,3.8,11.1,18.7,,5.5,-8.9,10.5,11.8,,100.9,3.3,-14.3,141.7,-3,15.7,-49.1,-7.3,76.9,,40.7,-49.1,77.7,39,,77.2,-44.2,-9.9,213.2,-37.2,-6.8,-96.2,-26.5,-3.9,,15,-92.9,1177.4,-8.3,,77.2,-44.3,-9.9,213.2,-37.2,-6.8,-96.2,-26.5,-3.9,,15,-92.9,1177.5,-8.3,,3066,112,101,3072,96,91,2721,232,285,2930,225,179,362,326,1020,641,698,666,687,718,758,691,763,853,62,72,70,51,72,37,65,91,67,118,78,54,63,4,57,52,241,421,278,195,224,16,204,187,,0,0,0,
A000040,KR모터스,자동차 및 관련부품,완성차,코스피,743,714,9613,1,0,0,-1.3,-4.1,23.8,-11.1,1,-26.1,-41.7,-65.5,11.84,12.9,13.35,-26.7,-2.29,-4.64,-7.36,-7.65,-66.5,-29.68,-6.75,-8.33,-7.44,-7.6,-7.31,0.51,0.51,0.61,-0.516418,-0.131363,-14.26,3.29,0.83,2.3,2.06,-3.9,-6.93,-6.92,-6.92,-8,155.81,-22.63,-22.31,-13.19,-71.57,41,70.04,249,339,-7,99,0,0,0,0,0,0,0.02503,0.95293,1178,347,667,274,153,0,1525,1400,-32,-103,361,-107,6,181,-86,-31,43,8,0,4.31,7.77,20.95,-44.51,-79.43,600,836,736,1005,1275,1275,598,0,1,1,0,58,24,0,-0.1,-0.1,-0.02,0.03,0.01,0,-0.32,-0.32,0,-0.28,-0.28,0,-0.22,-0.22,59,148,-0.74742,-198,-244,2089,1,0,0,0,0,-734,-1073,0,0,20220516,-6.6,-26.6,-20,-84.3,-3716.7,5.6,-39.8,-1.8,-15.6,-15.6,0,40,71,-94,0,0,0,1,0,0,0,0,1,2,264.8,25,262.3,-11.2,13.3,21.7,18.6,32.2,28.4,,67.4,-9.2,11,-23.9,,83.4,-5061.3,-51.5,104.9,-325,77.2,-331.3,-13140.9,-51.2,,249.7,-117.1,-1172.1,53.6,,59.4,-18,-73.1,80,-17.3,-252.3,-41.2,19,-60.9,,-33.1,10,-175.2,51.2,,86.6,-13.4,-17.9,89.8,-11.8,-235.6,-34.6,22.8,-60.9,,-33.1,10,-175.1,51.2,,366,-163,-234,1326,-247,-405,1178,12,-81,1335,-27,-95,-737,-868,-88,-99,312,291,290,227,380,345,383,292,8,1,0,-9,13,-2,-29,-14,-5,-12,-56,-14,-18,-17,-46,-22,-6,-13,-62,-14,-19,-17,-48,-23,,0,0,0,
A000050,경방,섬유 및 의류,섬유,코스피,12800,3509,2741,250,9.1,0,-0.8,2.8,20.8,-24.7,-6.6,-1.9,-4.8,26.1,11.24,36.2,41.53,10.6,14.86,19.26,7.7,15.63,3.6,4,2.39,9.8,10.2,10.7,11.71,0.88,0.88,0.91,0.35107,0.047815,5.28,1.03,0.28,0.47,0.46,13,10.42,11.48,11.48,5.8,5.85,5.94,5.94,4.71,-106.47,40,61.33,68,68,23,34,14.05,0.98,13.91,1.35,0,0.31,0.02033,0.83129,5164,7643,1428,505,10180,701,12807,3976,591,306,27879,1115,997,1441,359,-255,-89,31,125,0.33,0.53,0.78,-37.94,-57.61,10600,17000,13700,13050,13450,17000,10600,1,1,0,0,75,21,0,0,0,0,0,0,0.01,-0.04,-0.03,-0.01,-0.4,-0.41,-0.05,-0.75,-0.8,123,64,0.65505,36,-12,645,1,0,0,0,0,17523,11169,0,0,20220513,30.5,11.2,32.4,317.2,56.8,12.9,29.4,0.3,2.6,2.6,76.9,46,46,328,1,1,1,1,1,1,0,1,1,8,9.1,17.7,-2.1,-4.3,16.5,9,10.9,33.8,17.2,,13.8,-0.5,21.3,-14.6,,31.2,84.6,-22,-31.6,145.7,157.9,99.6,111.3,39.8,,-35.4,11,132.8,-16.3,,10.4,32.9,115.8,-70.2,71.5,85.7,-79.2,-37,121.2,,51.8,-92.3,434,255.1,,10.4,32.7,115.8,-70.2,71.5,85.7,-79.2,-37,121.3,,51.8,-92.3,433.9,255.2,,3514,410,202,3439,320,436,3292,219,130,3834,538,223,737,1590,474,813,862,843,847,826,940,935,1133,968,33,48,105,133,86,96,223,186,56,38,68,68,104,8,43,151,204,140,247,249,379,29,155,552,,0,0,0,
A000060,메리츠화재,금융,손해보험,코스피,32850,38369,11680,1610,13.8,-3.17,-1.1,6.7,-2.8,-26.8,-34.2,12.9,43.4,65.1,29.45,79.4,79.13,6.3,10.03,11.32,7.27,8.19,18.2,47.03,2.7,3.46,1.46,3.57,1.49,0.38,0.38,0.37,0.088055,0.06492,12.54,3.48,0.54,1.19,2.43,6.4,4.45,5.16,5.16,4.46,3.54,3.74,3.74,3.23,-677.24,0,0,1634,1644,107,60,10.15,1.89,-16.88,7.45,1.85,0.59,0.02763,0.45681,259850,15802,0,0,-7659,362,275652,102249,10257,7432,13529,6220,10834,81203,11081,-4289,-3168,338,620,56.46,79.28,55.98,-28.79,0.85,33800,44900,49900,29100,22900,52800,22800,0,0,0,0,62,44,-0.05,0.02,-0.03,-0.13,0.14,0.02,-0.1,0.05,-0.05,0.88,-0.47,0.41,2.21,-1.05,1.16,43,350,0.27553,7,94,237,1,0,1,0,0,35201,63728,0,0,20220516,1.1,0.5,49.8,-49.9,47.3,48.7,137.3,8.1,-31.9,-29.7,24.4,269,0,10743,1,1,1,1,0,0,1,1,1,7,41.5,8.7,13.7,13.6,9.6,10,10,8.2,6.8,,1.5,1.2,2.4,1.5,,190.2,60.1,12.8,72.3,49.3,52.6,52.7,67.5,66.1,,24.8,5.7,14.3,10.1,,182.2,61.6,28.5,43.5,53.1,53.9,54.1,74.4,63.4,,24.8,4.1,13.4,11,,166,58.6,28.5,35.2,53.1,45.1,45.3,74.4,68.7,,24.8,4.1,13.4,14.6,,71073,3127,2338,80830,3528,3004,91806,6080,4311,100584,9076,6599,2057,2643,3574,5471,22668,22937,23889,24564,24930,25241,25850,26229,1462,1545,1610,1788,2231,2359,2696,2970,1066,1108,1110,1315,1640,1708,1936,2148,938,974,920,1090,1360,1416,1605,1839,,0,0,0,
A000070,삼양홀딩스,지주사,지주사,코스피,72200,6183,856,113,13.2,0,-0.7,1.1,2,-16.8,-14.1,-33.1,-34.1,2.4,17.91,21.8,17.73,6.1,9.83,6.02,6.31,4.98,5.6,11.46,5.18,3.06,-8.18,17.32,-2.38,0.19,0.19,0.19,0.094704,-0.08304,1.06,1.48,0.24,0.5,0.35,8.3,2.63,3.04,3.04,3.77,2.94,1.95,1.95,3.12,-54.15,155,215.77,87,121,23,56,9.77,4.16,67.21,4.03,1.26,1.3,0.02143,0.99584,21537,17771,18189,5092,8360,2867,39308,32289,3175,2037,207515,23780,4098,7048,2021,-2772,686,1664,3000,7.11,6.33,7.15,12.39,-0.57,70800,86800,84100,108000,109500,131500,70300,0,0,0,0,55,3,0,-0.02,-0.02,-0.02,0.04,0.02,0.06,-0.17,-0.11,0.39,-0.61,-0.22,0.06,-0.6,-0.54,322,45,0.59022,169,229,86,1,1,0,0,0,194445,238178,0,0,20220516,7.5,-2.4,15.9,-62.7,14.3,5.3,18.5,13.9,11.4,11.4,27.8,46,58,357,1,1,1,0,0,1,1,0,1,6,21.2,25.4,-2.9,-0.7,25.7,35.5,27.3,23.2,17.4,,12.1,4.6,-2.6,2.8,,153.9,43.3,-42.7,114.5,106.5,241.4,92.1,-23.6,-40.9,,37.5,5.8,-74.5,59.4,,239.6,32.1,-55.9,231.1,132.4,383,197.9,-62.2,-45.4,,-6,10.1,-81.2,181,,239.6,32.1,-55.9,231.1,132.4,383.1,197.9,-62.2,-45.4,,-6,10.1,-81.2,181,,25635,1385,700,24886,794,309,24712,1703,1023,31073,3517,2377,8173,3608,11945,27755,5795,6451,6494,7007,7852,8214,8000,8223,337,634,406,837,1151,1218,311,495,146,260,386,750,705,776,146,410,1704,3041,4502,8760,8230,9061,1703,4786,,0,0,0,
A000080,하이트진로,식음료,음료,코스피,29550,20724,7013,148,2.1,0,-0.5,0.9,-3,-20.9,5.9,-18.1,-15.3,38.1,24.79,41.8,41.6,6.3,7.96,9.95,3.54,6.36,3.1,7.43,2.1,6.74,3.52,10.24,4.28,0.92,0.92,0.89,-8.12187,0.507636,50.16,2.9,1,1.77,1.93,58,25.46,25.99,25.99,13.96,7.18,11.56,11.56,8.92,-60.26,66,76.18,254,254,16,106,77.9,2.71,-11.4,4.97,2.51,0.85,0.01822,0.78728,27237,10733,14749,1876,2305,0,37970,22515,1793,797,15304,1137,3251,9411,3077,-3087,-1699,1054,800,71.76,51.52,62.7,39.29,14.45,30450,37350,27900,36100,34900,37850,27900,0,0,0,0,78,6,-0.09,-0.01,-0.1,-0.26,0.04,-0.22,-0.68,0.45,-0.23,-2.52,2.81,0.29,-0.01,9.3,9.29,50,93,0.86668,-59,-61,1133,1,0,0,0,0,11952,11389,0,0,20220513,-1.6,-3,-1.6,-66.6,-8,-3,-5.2,-1.6,2.1,2.1,0,52,30,2023,1,1,0,1,1,1,1,0,1,7,16.8,-0.3,7.9,10.9,-2.4,-2.8,-10.7,5.5,9.1,,5.7,-1.4,-2.2,7.1,,92.6,-8.2,-2.4,125.1,-12.3,-21.2,-30.3,41.2,9.8,,-19.5,5.3,-24.9,72.4,,223,-3.3,-290.5,305,-17.3,-32,-58.5,140,27.5,,-18.6,-43.6,-58.6,569.7,,223,-3.2,-290.5,305,-17.3,-32,-58.5,140,27.5,,-18.6,-43.6,-58.6,569.7,,18856,904,222,20351,882,-423,22563,1985,867,22029,1741,717,317,-603,1236,1022,5816,6243,5166,5351,5655,5574,5449,5837,541,644,239,529,426,449,337,581,349,323,-139,291,237,134,55,371,497,460,-198,415,338,191,79,529,,0,0,0,
A000100,유한양행,제약 및 바이오,제약,코스피,57800,42328,7323,0,0,0.16,0,0.9,5.9,-3,5.1,-2.3,-2,47.5,21.35,30.6,28.19,3.8,2.37,1.49,5.69,3.88,6,5.17,3.97,2135.06,29.89,-99.6,37.71,2.46,2.46,2.58,216.15,-2.91272,96.4,2.85,1.48,1.99,2.23,33.5,43.24,43.23,43.23,66.41,43.44,103.75,103.75,173.42,18.51,224,282.85,30,30,36,6,25.42,0.66,26.33,1.17,0.53,0.21,0.01442,0.79104,5695,18946,13532,2816,7027,5156,24641,17196,408,979,25871,1339,900,5255,20,-2017,-732,445,382,58.67,65.33,74.76,-10.19,-21.52,54600,59600,55000,59145,58953,64600,54200,0,1,1,0,89,7,-0.02,0.04,0.02,-0.16,0.14,-0.02,-0.57,0.68,0.11,-0.77,0.6,-0.17,-1.01,1.33,0.32,27,50,0.35856,-67,-76,1295,1,0,0,0,0,18939,13397,0,0,20220429,-8.1,-11.4,2,-157.5,-58.9,-1.7,-1.7,-1.7,2.1,2,-52,100,60,-425,1,1,1,0,1,1,0,0,1,6,11.1,2,-2.5,9.4,4.2,4.3,5.1,-8.1,8.4,,14.3,4.2,-6.1,-3.1,,-3,-58,-75,574.4,-42.3,-34.3,-68,-82.5,-56.1,,68.5,-72.2,-27.1,28.4,,78.4,0.3,-30.4,382,-46.8,0.7,1,35.1,-22.7,,65.7,-10.1,-44.2,-7,,77.5,0.2,-30.6,381.2,-46.9,0.6,0.8,34.9,-22.8,,65.7,-10.1,-44.2,-7,,15188,501,575,14804,125,400,16199,843,1928,16878,486,1026,790,548,2639,1402,4155,4297,4614,3790,4333,4515,4240,4109,357,204,272,139,234,65,48,61,339,304,127,206,342,307,171,159,464,416,173,282,467,420,234,218,,0,0,0,
A000120,CJ대한통운,운송 및 물류,육상운송,코스피,116500,26576,2281,287,12.6,0,0.9,4.5,5.9,-3.7,3.1,-21.8,-36.3,-14.3,12.77,9.6,8.93,3,3.23,2.65,0.6,0.95,1.9,1.93,0.8,11.22,-6.35,36.41,-4.72,0.23,0.23,0.23,-0.90446,0.221242,28.51,2.1,0.73,1.22,0.74,61.5,33.66,38.53,38.53,24.58,6.35,7.16,7.16,8.78,-98.83,97,97.86,126,142,12,77,0,0,0,0,0,0,0.01812,0.85762,50781,35763,24515,277,21795,1062,86544,115080,3714,690,156772,3023,8476,11032,2368,3932,-8285,1638,0,42.52,49.13,45.07,-13.46,-5.67,110000,121000,113000,149000,183000,183000,110000,1,1,0,0,64,6,0.02,-0.01,0.01,-0.08,0.09,0.01,0.18,-0.06,0.12,1.3,-0.98,0.32,3.54,-3.3,0.24,183,1,1.39523,-26,-74,1266,1,0,0,0,0,85396,30305,0,0,20220509,18.5,4.9,-38,-87.5,12.2,-45.5,-44.6,-7,3.7,3.7,20,45,1,730,1,1,0,1,1,0,1,1,1,7,23,5,13,3.5,5.2,3.7,2.6,7.6,6.1,,2,3.6,7.4,-6.6,,41.7,17.8,26.6,5.9,5.7,8,13.8,10,57.2,,88.2,16.3,-5.2,-24.2,,3.8,-42.5,-24.7,209.8,-55.5,-254.9,-12.7,80,111.1,,-504.8,171.1,54.7,-52.5,,3.8,-42.6,-24.7,209.8,-55.5,-254.9,-12.7,80,111.1,,-504.8,171.1,54.7,-52.5,,92197,2427,527,104151,3072,397,107811,3253,1230,113437,3439,547,2310,1740,5392,2398,26500,27745,28413,26926,27472,28465,30573,28570,839,925,908,481,906,1053,998,757,334,422,316,128,-518,368,569,270,1466,1850,1387,561,-2271,1614,2496,1185,,0,0,0,
A000140,하이트진로홀딩스,지주사,지주사,코스피,11450,2657,2320,184,7.9,0,-1.3,-0.9,3.2,-20.5,3.6,-21.8,-27.5,23.7,24.73,42.4,42.14,6.9,8.65,10.6,1.66,2.95,2.4,7.14,0.97,0.9,0.45,1.39,0.55,0.12,0.12,0.11,-0.165429,0.104865,3.64,1.1,0.33,0.58,0.51,23,6.58,7.13,7.13,3.88,3.38,1.37,1.37,1.08,-688.52,54,62.39,306,638,11,161,30.19,3.93,54.55,4.99,1.2,1.23,0.01732,0.98965,33199,5207,14905,1895,2559,83,38406,22404,1937,372,22438,1605,3320,9489,2963,-3043,-1614,1058,450,1.46,2.09,2.51,-30.07,-41.87,11100,14400,11050,14650,15800,15800,10950,0,1,0,0,72,5,-0.02,0,-0.02,-0.12,0.04,-0.08,-0.38,0.06,-0.32,-0.61,-0.02,-0.63,-1.4,0.24,-1.16,115,54,0.47252,69,40,375,1,1,0,0,0,19441,16046,0,0,20220513,-1.4,-2.7,-42.1,-67.6,-6.8,-43,-45.8,-1.6,5,5,0,52,31,1905,1,1,0,1,1,1,1,0,1,7,16.8,-0.3,8,10.9,-2.4,-2.9,-10.7,5.4,9.1,,5.7,-1.4,-2.3,7.2,,82,-7.2,-2.5,108.6,-10.5,-19.8,-28.8,39,9.4,,-18.1,4.6,-21.5,62.6,,1307.4,-43.1,-692.6,401.4,-49.5,-40.3,-69.3,-80.2,37,,-3.7,-62.2,-22.1,382.8,,1307.4,-43.1,-692.6,401.4,-49.5,-40.3,-69.3,-80.2,37,,-3.7,-62.2,-22.1,382.8,,18767,1035,-27,20263,1009,-214,22470,2105,645,21920,1884,326,-116,-922,2779,1405,5797,6217,5141,5324,5627,5549,5420,5808,575,677,272,563,461,482,378,615,201,148,179,125,120,46,35,171,868,640,772,538,519,196,153,737,,0,0,0,
A000150,두산,지주사,지주사,코스피,66400,10972,1652,300,18.2,0,0,4.6,8.1,-25.1,-28.3,-31.1,-34.3,-18.2,12.09,16.5,16.76,5.6,6.33,5.49,0.14,-0.37,-0.5,0.84,0.1,41.22,-0.65,-3.65,-0.55,0.08,0.08,0.08,0.531222,-0.201214,28.76,1.8,0.4,0.85,0.49,-180.9,48,58.7,58.7,-21.55,4.27,1.27,1.27,1.46,-601.11,74,98.49,168,741,11,79,16.89,3.01,-53.3,7.32,1.69,0.94,0.03554,1.57023,164713,22228,98759,24966,27040,7566,186941,136939,8667,187,134518,1131,14366,22603,266,-4449,-11266,3276,2000,28.78,26.83,42.03,7.28,-31.53,61400,88700,92600,96400,101000,145500,61400,1,0,0,0,46,8,0.05,0.01,0.05,0,0.03,0.03,-0.12,0.14,0.02,-1.38,0.75,-0.63,1.81,0.36,2.17,267,22,-5.88416,-24,-83,1383,1,1,0,0,0,50115,11318,0,0,20220503,123.6,22.6,114.1,-175,279,107.9,108.6,-25.3,21.5,21.5,1000,37,67,-3010,1,1,1,1,1,1,1,1,1,9,-24.3,36.2,3.4,-36.7,15.5,13.5,15,303.6,16.7,,19.9,7.9,-21.5,15,,-19.6,417,4.4,-101.7,4736.8,378.1,79.9,191.3,-29.7,,9.9,-11.5,-51.4,48.9,,281.2,110.5,459.6,-231.6,138.3,132.9,-119.8,116.3,-107.1,,-77.4,-208.4,178.8,-136.5,,353.9,110.5,603.9,-231.6,138.3,132.9,-119.7,116.3,-107.1,,-77.4,-208.4,178.8,-136.5,,174493,11764,-1169,180416,12286,4204,114285,-204,-5533,132042,9459,2118,-5049,25442,-33485,12818,30949,32953,7365,29297,35123,37893,29729,34195,-1055,1442,-1381,2670,2933,2595,1261,1878,-1241,-201,-2142,1804,408,-442,349,-127,-7509,-1217,-12961,10917,2468,-2675,2109,-770,,0,0,0,
