,코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),21년4Q 호실적 100기업,1Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 18년->21년 3년간 YOY,매출액 연환산 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 21년 YOY,매출액 21년1Q YOY,매출액 21년2Q YOY,매출액 21년3Q YOY,매출액 21년4Q YOY,매출액 22년1Q(E) YOY,매출액 21년1Q QOQ,매출액 21년2Q QOQ,매출액 21년3Q QOQ,매출액 21년4Q QOQ,매출액 22년1Q(E) QOQ,영업이익 18년->21년 3년간 YOY,영업이익 연환산 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 21년 YOY,영업이익 21년1Q YOY,영업이익 21년2Q YOY,영업이익 21년3Q YOY,영업이익 21년4Q YOY,영업이익 22년1Q(E) YOY,영업이익 21년1Q QOQ,영업이익 21년2Q QOQ,영업이익 21년3Q QOQ,영업이익 21년4Q QOQ,영업이익 22년1Q(E) QOQ,순이익 18년->21년 3년간 YOY,순이익 연환산 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 21년 YOY,순이익 21년1Q YOY,순이익 21년2Q YOY,순이익 21년3Q YOY,순이익 21년4Q YOY,순이익 22년1Q(E) YOY,순이익 21년1Q QOQ,순이익 21년2Q QOQ,순이익 21년3Q QOQ,순이익 21년4Q QOQ,순이익 22년1Q(E) QOQ,EPS 18년->21년 3년간 YOY,EPS 연환산 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 21년 YOY,EPS 21년1Q YOY,EPS 21년2Q YOY,EPS 21년3Q YOY,EPS 21년4Q YOY,EPS 22년1Q(E) YOY,EPS 21년1Q QOQ,EPS 21년2Q QOQ,EPS 21년3Q QOQ,EPS 21년4Q QOQ,EPS 22년1Q(E) QOQ,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,21년 매출액,21년 영업이익,21년 순이익,18년 EPS,19년 EPS,20년 EPS,21년 EPS,매출액 20년1Q,매출액 20년2Q,매출액 20년3Q,매출액 20년4Q,매출액 21년1Q,매출액 21년2Q,매출액 21년3Q,매출액 21년4Q,영업이익 20년1Q,영업이익 20년2Q,영업이익 20년3Q,영업이익 20년4Q,영업이익 21년1Q,영업이익 21년2Q,영업이익 21년3Q,영업이익 21년4Q,순이익 20년1Q,순이익 20년2Q,순이익 20년3Q,순이익 20년4Q,순이익 21년1Q,순이익 21년2Q,순이익 21년3Q,순이익 21년4Q,EPS 20년1Q,EPS 20년2Q,EPS 20년3Q,EPS 20년4Q,EPS 21년1Q,EPS 21년2Q,EPS 21년3Q,EPS 21년4Q,EPS 22년1Q(E),발표치 22년1Q  매출액,발표치 22년1Q  영업이익,발표치 22년1Q  순이익,Unnamed: 272,발표 분기 PER_역수,발표 분기 PER_rank,분기 PFCR_역수,분기 PFCR_rank,발표 PBR_역수,발표 PBR_rank,발표 분기 PSR_역수,발표 분기 PSR_rank,밸류종합순위,영업이익 22년1Q(E) YOY_순위,영업이익 22년1Q(E) QOQ_순위,순이익 22년1Q(E) YOY_순위,순이익 22년1Q(E) QOQ_순위,이익모멘텀_종합순위,과거GP/A_rank,자산증가율 (최근분기)_rank,(영업이익/차입금) 증가율_rank,퀄리티_종합순위
0,A101730,위메이드맥스,미디어 및 엔터,게임,코스닥,20500,6826,3329,27,0.8,110.79,-5.3,-12.2,33.1,-18.2,-55.6,116.7,231.7,311.8,72.87,99.9,100.0,-24.6,19.1,40.2,17.66,41.96,-98.0,26.54,17.66,301.91,131.27,325.05,133.65,19.22,14.02,7.3,0.619111,0.003378,1672.33,32.43,0.92,5.21,21.07,-7.0,78.74,-533.28,79.37,17.41,293.67,2337.67,73.4,18.17,0.81,303,302.74,96,115,2.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.07659,1.65989,261,226,316,0,145,25,487,487,93,86,973,225,23,355,23,-46,56,2,0,120.27,551.76,290.06,-78.2,-58.54,15400,25050,46200,9460,6180,58000,5420,0,1,1,0,35,278,0.0,0.01,0.01,-0.04,0.15,0.1,-0.01,-0.91,-0.92,-0.04,0.07,0.03,0.27,-2.05,-1.78,53,2190,-1.30805,-98,-87,1405,1,0,0,0,0,234,2652,0,1,20220511,-27.8,-0.1,163.7,140.4,267.4,168.0,162.9,29.7,37.2,-34.9,102.6,48,0,21,0,1,0,1,0,0,0,0,0,2,23.3,26.9,5.9,24.3,-6.3,4.6,-5.3,-20.2,-4.5,130.1,3.0,-18.1,-8.1,23.2,148.2,102.4,312.4,13.4,52.7,105.8,220.1,92.0,64.0,122.1,2054.6,120.9,-124.8,-359.3,192.7,1942.2,96.6,186.4,63.8,25.2,87.5,82.9,67.7,82.0,97.0,10756.5,98.4,-588.0,39.3,55.5,5833.3,97.9,128.2,63.8,54.5,87.5,89.6,80.4,89.0,98.6,5154.3,98.4,-587.7,39.3,78.9,5833.3,288,-127,-384,305,-110,-139,379,-52,-104,355,3,-13,-3999,-1448,-658,-82,97,88,96,99,102,83,76,94,-4,-14,-14,-21,4,-1,-5,5,-5,-20,-21,-58,-1,-6,-4,-2,-56,-205,-222,-366,-6,-40,-24,-5,294.0,234,94,98,,0.05743825387708214,188.0,0.0074822297044519264,244.0,0.04746084480303749,399.0,0.136986301369863,343.0,293.5,3.0,8.0,1.0,2.0,3.5,9.0,302.0,97.0,136.0
1,A096770,SK이노베이션,석유 및 가스,정유,코스피,215500,199263,9246,881,9.5,0.0,0.0,4.1,6.4,4.9,3.9,-12.9,-20.9,33.4,8.92,9.0,6.5,2.6,5.25,10.14,2.75,4.88,1.7,8.16,3.13,-41.26,10.5,-7.2,-9.96,0.43,0.37,0.31,0.054224,0.020317,14.83,1.73,0.49,1.03,1.1,43.9,12.2,65.42,13.48,6.28,9.15,11.36,7.07,3.02,-42.37,94,148.02,152,173,10.0,89,69.24,0.0,-100.0,5.64,0.0,0.0,0.02363,1.19977,299242,173234,214817,78491,68189,42841,472476,537001,28189,14779,195934,15983,32679,41938,-4830,-41232,50297,22853,0,498.73,651.85,534.04,-23.49,-6.61,202500,205500,207500,247500,272500,295500,191500,1,1,1,0,73,13,0.02,-0.01,0.01,0.19,0.17,0.35,0.34,0.36,0.7,-0.3,1.01,0.71,2.55,-0.65,1.9,57,124,-2.57839,-60,-23,669,1,0,0,0,0,85572,164150,0,1,20220429,1123.3,1049.3,154.1,-205.5,8850.0,191.1,216.2,25.7,27.9,27.9,162.5,33,61,-27683,1,0,1,0,0,1,1,1,1,6,-13.6,63.2,-9.1,-29.9,35.6,-14.9,55.9,48.1,73.9,72.9,16.6,18.2,10.6,14.0,16.0,-16.6,13852.1,-47.1,-317.3,172.5,132.2,211.0,1253.3,147.2,182.2,715.4,-13.3,22.1,-92.8,3581.1,-81.6,248.6,-102.2,-5986.3,114.0,75.6,153.1,1897.1,130.0,309.1,-58.6,149.2,127.8,-83.1,1006.1,-81.6,248.6,-102.2,-5986.3,114.0,75.6,153.1,1897.1,130.0,309.1,-58.6,149.2,127.8,-83.1,1006.1,542165,21032,16511,493069,11136,-357,345499,-24203,-21728,468429,17542,3046,17856,-386,-23498,3294,110471,71319,83080,80630,94043,111196,123005,140185,-18154,-4563,-536,-950,5844,5065,6185,448,-15580,-3518,-237,-2393,-3795,1868,4255,718,-16849,-3805,-256,-2588,-4105,2021,4602,776,8584.0,162615,16491,7937,,0.1592356687898089,70.0,-0.1004016064257028,360.0,0.9090909090909091,115.5,3.2258064516129035,58.0,150.875,47.0,3.0,31.0,19.0,25.0,327.0,280.0,68.0,225.0
2,A093370,후성,반도체 관련장비 및 부품,반도체 부품,코스피,23150,21438,9260,0,0.0,0.0,-0.6,-9.6,16.9,17.5,5.0,67.1,124.8,212.4,18.18,27.7,32.8,10.3,23.29,33.02,12.86,21.94,12.8,21.67,10.55,25.69,13.81,86.1,18.76,5.62,4.5,3.38,0.049053,0.015609,265.07,8.62,2.2,4.63,7.58,39.3,34.97,95.01,34.97,15.4,22.39,36.87,19.31,10.23,-7.03,74,112.47,117,134,28.0,74,6.16,0.06,750.0,0.2,0.0,0.02,0.03825,1.12961,3329,2481,1822,620,546,266,5810,4766,1110,613,3054,662,1023,1056,835,-661,-266,586,15,350.03,997.72,1146.51,-64.92,-69.47,19800,19700,22050,13850,10300,26650,10250,0,1,1,1,87,126,0.02,-0.24,-0.22,-0.21,-0.67,-0.88,-2.46,7.43,4.97,-4.07,6.49,2.42,-4.51,5.98,1.47,13,244,1.89908,-85,-70,1184,1,0,0,0,0,3390,6796,0,1,20220516,116.7,67.2,446.3,2666.7,1036.1,351.2,525.8,12.5,29.9,29.9,2700.0,42,59,249,1,1,1,1,1,1,1,1,1,9,38.7,80.0,-9.5,5.1,45.8,5.3,20.9,51.6,97.8,150.9,-7.4,19.4,42.4,25.6,17.4,46.7,1946.8,-66.2,-79.1,1975.0,84.8,153.1,484.5,3903.0,11266.5,38.5,1616.0,216.2,29.1,80.5,-26.6,713.1,-73.7,23.5,126.0,-164.0,3648.9,659.0,-103.4,986.5,-145.5,268.1,205.9,-101.4,12098.6,-26.6,712.9,-73.7,23.5,126.0,-164.0,3648.7,659.0,-103.4,986.6,-145.5,268.1,205.9,-101.4,12098.6,2749,396,308,2489,134,81,2616,28,100,3813,581,226,333,87,108,244,600,624,709,683,632,755,1075,1351,-31,28,38,-8,-5,71,225,290,-15,2,27,86,-39,66,202,-3,-16,2,29,93,-42,71,218,-3,376.0,1586,524,348,,0.06493506493506493,172.0,0.053304904051172705,188.0,0.13192612137203166,363.0,0.2958579881656805,289.0,253.0,2.0,104.0,10.0,1.0,29.25,198.0,183.5,4.0,128.5
3,A018670,SK가스,석유 및 가스,가스판매,코스피,131000,12092,923,26,2.8,0.0,0.4,1.6,-3.0,12.4,6.1,10.5,13.9,68.2,7.23,5.7,4.24,2.7,2.34,4.47,4.53,6.03,9.5,14.85,6.55,-3.11,-1.37,-2.17,-1.11,0.19,0.16,0.13,0.07332,0.013802,1.94,1.03,0.33,0.54,0.54,5.4,3.5,4.85,3.6,2.12,12.74,11.47,6.97,2.86,-49.49,135,166.84,142,142,4.0,116,18.36,3.89,111.38,4.88,1.92,1.25,0.02823,0.49235,30042,21174,24058,4642,15369,8500,51216,74171,1736,3357,244858,36374,2135,3691,-3891,-595,4786,1690,5100,19.17,21.01,56.47,-8.74,-66.05,135000,116500,123500,118500,115000,171500,108500,0,1,1,1,76,21,0.04,-0.01,0.03,0.18,0.02,0.2,0.94,0.24,1.18,1.31,0.17,1.48,1.3,-1.09,0.21,90,63,0.60928,116,185,88,1,0,0,0,0,284066,373332,0,1,20220509,-27.5,-44.0,11.1,-453.5,-23.5,-7.0,29.0,13.8,15.6,15.6,-60.0,48,26,-5581,1,0,0,0,0,1,1,0,1,4,-5.3,60.5,-28.1,-10.5,47.2,16.9,36.4,89.2,54.2,63.9,21.4,-2.6,28.7,1.4,29.0,2.4,22.7,84.1,0.3,-44.5,-56.4,-20.0,-29.2,-494.4,181.1,1920.0,18.5,-20.3,-134.6,960.6,316.9,49.1,165.7,67.0,-6.1,-41.7,24.8,0.8,17.7,153.6,733.4,100.6,-36.1,-89.0,1695.6,316.7,49.1,165.6,67.0,-6.1,-41.7,24.8,0.8,17.7,153.6,733.4,100.6,-36.1,-89.0,1695.6,68592,1030,598,49311,1896,1589,44123,1902,2654,64945,1055,2493,6482,17215,28753,27009,12353,10312,9566,11892,14442,14062,18098,18344,863,557,502,-21,376,446,355,-123,965,905,716,68,563,1129,721,80,10457,9804,7754,732,6099,12233,7812,861,15467.0,23668,1057,1428,,0.4716981132075471,8.0,-0.9009009009009008,405.0,1.8518518518518516,33.0,7.692307692307692,15.0,115.25,48.0,11.0,50.0,11.0,30.0,345.0,199.5,329.0,291.1666666666667
4,A047810,한국항공우주,기계,우주항공,코스피,52900,51564,9747,0,0.0,0.0,0.8,3.1,9.9,37.9,82.7,62.5,54.7,56.5,5.28,12.0,8.97,3.2,3.44,6.12,3.41,5.85,3.3,6.76,1.52,11.72,3.23,14.48,3.29,2.01,1.99,2.01,0.055389,0.183014,230.4,6.96,1.72,3.08,3.95,83.0,58.33,80.69,58.33,34.37,25.6,88.51,57.87,32.86,-17.0,84,131.46,351,359,5.0,95,30.51,0.38,-30.04,1.25,0.0,0.12,0.02223,1.05491,45578,12694,36810,13247,6833,131,58272,25912,891,884,13407,907,2071,3070,4400,-4159,2007,838,200,477.85,428.34,511.46,11.56,-6.57,48150,38350,28950,32550,34200,52900,27300,1,1,1,1,100,94,-0.06,-0.01,-0.07,-0.09,0.19,0.1,-0.01,1.01,1.0,-0.56,4.2,3.64,3.04,5.61,8.65,76,129,2.48628,-80,-82,1337,1,0,0,0,0,10366,9305,0,1,20220502,-18.5,2.1,4.3,-25.7,9.9,1075.9,966.2,13.8,8.1,8.1,-64.3,35,189,3562,1,1,0,1,0,1,1,1,0,6,-8.0,-0.7,11.6,-9.2,-9.3,-26.1,-1.7,-13.5,4.6,4.7,-19.7,15.8,-37.2,79.0,-19.6,-60.2,8.9,88.3,-49.4,-58.2,-87.3,-2.0,-87.7,-19.8,367.1,177.7,614.3,-95.3,-558.6,402.8,11.7,1053.7,197.9,-56.2,-14.3,-83.7,28.4,-40.5,81.5,187.8,121.4,316.4,-85.5,-243.1,432.4,11.7,1053.1,197.9,-56.2,-14.3,-83.7,28.4,-40.5,81.5,187.8,121.4,316.4,-85.5,-243.1,432.4,27860,1464,572,31102,2756,1704,28251,1395,746,25623,583,639,587,1748,765,656,8277,7211,5146,7617,6117,7085,4451,7969,661,612,230,-108,84,600,28,-130,800,423,133,-609,130,543,79,-113,821,434,136,-625,134,557,81,-116,385.0,6407,392,375,,0.02909514111143439,250.0,0.303951367781155,51.0,0.2531645569620253,305.0,0.49751243781094534,250.0,214.0,20.0,27.0,44.0,33.0,31.0,358.0,199.5,337.0,298.1666666666667
5,A025860,남해화학,화학,비료 및 농약,코스피,12800,6359,4967,173,3.5,0.0,0.8,5.8,-9.5,15.3,21.9,19.6,26.7,29.4,16.86,8.3,8.95,1.7,3.73,7.96,3.15,6.04,4.0,10.92,7.69,-8.49,0.0,-6.96,-26.02,0.44,0.36,0.26,0.071668,0.003823,14.57,1.75,0.67,1.17,1.26,29.0,11.16,29.35,11.56,4.38,25.93,31.03,9.75,3.32,40.23,100,216.82,52,53,22.0,20,13.28,0.47,4.62,0.98,0.28,0.15,0.03875,0.62939,2475,4674,5033,2718,500,100,7149,17468,652,550,10138,1108,247,1209,-749,64,952,165,60,30.83,76.0,178.81,-59.44,-82.76,14150,11100,10500,10700,10100,16450,8610,1,0,1,1,78,49,0.0,0.03,0.02,0.09,0.11,0.2,0.24,0.08,0.32,2.66,0.23,2.89,2.68,-0.4,2.28,38,88,1.12037,-32,-11,561,1,0,0,0,0,8637,11367,1,1,20220516,-14.9,-28.2,81.0,-343.7,86.5,52.9,136.3,21.3,10.5,10.5,-63.9,28,68,-914,1,0,0,0,0,0,0,0,1,2,16.8,71.0,-4.5,-14.9,43.8,4.0,46.4,50.1,88.4,96.3,42.9,30.1,-14.0,17.8,48.9,20.6,219.3,-10.0,72.5,-22.3,-65.6,-41.0,-144.5,350.9,1431.2,163.8,172.6,-140.5,456.1,289.2,158.3,161.1,90.5,56.3,-13.2,-57.7,-44.4,-139.9,607.9,1145.7,202.6,153.8,-141.5,569.7,151.7,158.3,161.3,90.5,56.2,-13.2,-57.7,-44.4,-139.9,607.9,1145.6,202.6,153.8,-141.5,569.6,151.7,12427,170,84,11872,153,160,10098,264,250,14519,205,217,169,322,503,437,2947,2723,2284,2144,3064,3987,3429,4039,91,144,78,-49,31,85,-35,123,69,133,77,-28,29,74,-31,144,139,268,155,-57,59,149,-62,290,731.0,6013,479,363,,0.22831050228310504,40.0,-0.03843197540353574,318.0,0.7936507936507936,135.0,3.846153846153846,43.0,134.0,6.0,38.0,8.0,82.0,33.5,208.0,259.0,335.0,267.3333333333333
6,A002900,TYM,기계,농업용기계,코스피,3155,4807,15235,551,3.6,11.31,3.4,7.7,-6.7,82.9,82.4,38.4,80.8,123.6,22.21,18.7,10.17,1.5,6.34,12.08,5.51,10.5,-3.0,18.13,7.21,13.15,200.29,-120.18,-63.39,0.57,0.52,0.4,0.018764,0.013322,16.09,2.94,0.38,1.34,1.71,-153.5,9.07,17.89,9.41,3.81,12.77,13.63,8.18,3.31,-10.01,41,107.65,184,183,18.0,79,10.87,0.63,114.51,2.19,0.0,0.2,0.03895,1.25037,4582,2503,4101,2531,289,3,7085,9268,588,511,1849,341,514,1577,366,-406,-567,406,20,181.18,229.73,824.69,-21.13,-78.03,3380,1725,1730,2280,1745,3615,1445,1,0,1,1,87,118,0.04,0.25,0.28,-0.17,-0.87,-1.04,-1.02,-2.04,-3.06,4.07,-1.02,3.05,4.32,-0.78,3.54,71,350,1.67891,-40,9,451,1,0,0,0,0,1872,3444,0,1,20220503,8.7,6.6,1148.5,-109.3,37.5,440.2,213.2,15.7,111.4,74.9,63.6,44,110,-40,1,1,1,1,1,1,0,1,1,8,42.7,22.8,4.7,15.5,18.0,23.8,33.4,8.8,5.2,39.7,26.1,14.6,-18.9,-10.3,67.4,753.7,69.1,353.7,112.4,21.3,79.9,71.7,-61.8,-330.8,183.7,1154.7,89.4,-85.7,-251.0,794.5,458.7,562.1,160.0,-22.2,668.6,132.3,57.9,-89.1,191.8,329.7,174.2,36.4,-95.7,2028.1,247.2,287.1,501.5,141.1,-28.8,539.1,113.8,40.8,-90.3,175.9,286.0,168.3,32.1,-95.7,1874.4,247.2,5899,-54,-75,6174,137,45,7133,291,35,8415,353,269,-95,39,28,178,1739,1849,1839,1706,2152,2466,2001,1795,71,141,91,-12,128,242,35,-52,32,63,39,-99,73,100,4,91,25,50,31,-79,54,71,3,60,207.0,3005,363,316,,0.26246719160104987,29.0,-0.015775358889414733,288.0,0.5847953216374269,179.0,2.5,81.5,144.375,46.0,16.0,28.0,55.0,36.25,156.0,212.0,133.0,167.0
7,A102710,이엔에프테크놀로지,반도체 관련장비 및 부품,반도체 부품,코스닥,34650,4951,1428,0,0.0,0.0,-0.3,2.4,-0.4,26.7,13.1,5.6,-4.5,52.3,15.03,16.4,14.32,11.0,6.15,8.32,4.24,6.71,13.6,7.07,4.27,33.59,-61.89,-9.9,-6.78,0.95,0.86,0.74,-0.547581,0.101371,29.33,2.25,0.81,1.46,1.44,11.0,20.37,26.74,20.37,11.09,11.01,19.04,14.07,8.94,-4.24,82,115.95,68,71,16.0,47,11.57,0.43,82.14,1.2,0.27,0.14,0.02543,1.06087,2366,3326,2156,636,506,297,5692,5726,352,243,24058,1704,554,854,148,-689,497,648,150,10.81,24.72,31.51,-56.27,-65.7,34800,27350,30650,32800,36300,38400,26300,1,0,1,1,90,32,-0.02,0.06,0.05,0.19,0.19,0.39,0.92,0.4,1.32,4.94,1.15,6.09,5.74,0.26,6.0,56,77,0.75908,-31,-49,942,1,0,0,0,0,23599,17464,0,1,20220516,-41.4,-32.2,-57.6,-410.2,-45.3,-47.1,-42.4,24.1,9.2,8.9,-79.2,65,44,-500,1,1,0,0,0,0,0,0,0,2,22.7,18.8,13.1,1.2,7.2,-3.9,0.7,7.5,25.0,43.9,-2.0,4.8,13.4,7.4,12.8,-27.0,-35.0,67.4,14.4,-61.9,-74.9,-75.5,-34.1,-63.4,195.2,-36.7,15.4,143.8,-79.4,410.6,-35.8,-37.1,60.1,0.2,-60.0,-58.7,-92.7,-23.6,-94.4,109.4,35.4,-81.1,1089.0,-98.2,4950.2,-36.0,-37.2,60.1,0.0,-60.0,-58.8,-92.7,-23.8,-94.4,109.4,35.1,-81.1,1088.8,-98.2,4950.2,4254,356,288,4810,596,461,4866,682,462,5218,260,185,2024,3240,3240,1295,1204,1203,1278,1180,1157,1212,1374,1476,187,221,200,74,47,54,132,27,129,137,157,39,53,10,120,2,906,965,1098,276,373,70,837,15,781.0,1665,138,112,,0.09017132551848513,129.0,-0.14749262536873156,373.0,0.6944444444444444,155.0,1.3513513513513513,141.0,199.5,44.0,26.0,73.0,3.0,36.5,228.0,277.5,353.0,286.1666666666667
8,A005690,파미셀,제약 및 바이오,바이오,코스피,15700,9414,5995,1,0.0,0.0,0.6,8.3,31.9,42.7,20.3,-4.8,-5.7,74.6,24.52,46.2,47.36,3.2,19.75,28.18,22.24,28.3,-13.9,17.77,13.03,-180.27,-20.83,-99.09,-17.04,18.5,16.75,13.51,0.753854,0.297817,1008.4,24.86,1.7,13.7,13.39,-102.1,75.31,98.96,75.31,47.74,121.19,123.69,84.81,47.94,3.82,199,266.7,47,47,44.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.02964,0.77516,305,654,665,169,39,0,959,562,111,125,1172,209,76,235,-52,-94,185,43,0,533.28,338.07,342.39,57.74,55.75,11900,11000,13050,16500,16650,19750,9880,1,1,1,1,79,59,0.08,-0.02,0.06,0.47,0.25,0.72,1.77,0.38,2.15,2.06,0.64,2.7,2.09,1.11,3.2,85,687,0.57823,-91,-87,1421,1,0,0,0,0,1377,1901,0,1,20220509,-3.8,-1.9,73.4,-214.5,1.2,43.1,67.0,37.5,19.2,19.2,-81.4,69,121,-95,1,0,1,0,0,0,1,0,0,3,79.2,39.1,14.4,16.3,34.7,27.8,20.8,67.2,31.5,43.3,35.5,13.2,-4.3,-10.5,47.7,2433.3,40.8,566.7,260.0,5.6,86.3,-12.9,173.1,-143.8,249.4,4.9,141.5,0.2,-117.3,936.3,174.8,99.1,133.9,20.9,82.7,121.0,-26.9,394.5,172.6,160.3,176.1,14.8,64.4,-47.7,163.6,174.8,99.9,133.9,20.9,82.7,121.0,-27.0,394.5,172.6,160.3,176.1,14.8,64.4,-47.7,163.6,284,3,-127,325,20,43,378,72,52,509,76,95,-212,72,87,158,95,114,79,90,122,138,132,118,8,39,12,13,14,34,34,-6,9,30,7,7,19,22,36,19,14,50,12,11,32,36,60,31,82.0,174,49,49,,0.020946795140343526,270.0,-0.05868544600938967,334.0,0.07468259895444361,388.0,0.07401924500370097,369.0,340.25,32.0,12.0,48.0,76.0,42.0,134.0,330.0,357.5,273.8333333333333
9,A016790,현대사료,식음료,사료,코스닥,154100,9478,615,0,0.0,0.0,12.4,28.2,17.4,730.7,977.6,872.2,749.0,713.2,12.95,11.0,10.4,1.0,2.99,4.71,0.33,1.15,0.1,0.69,0.43,179.68,-27.55,-379.12,-19.17,8.59,7.88,7.15,13.7522,4.157,38741.3,16.34,0.86,1.85,16.35,1090.1,2369.5,-1305.51,2369.5,623.55,767.92,758.24,263.28,151.79,3.18,168,222.18,63,63,5.0,42,0.0,0.01,209.09,0.8,0.0,0.0,0.06678,0.75479,361,576,662,162,8,0,937,1203,36,4,9426,68,13,121,53,-36,-25,78,20,1191.11,601.87,291.58,97.9,308.5,131300,18550,14300,15850,18150,156500,12900,1,1,1,1,98,1095,0.08,0.54,0.61,0.08,0.76,0.84,0.08,0.87,0.95,0.06,1.11,1.17,0.07,1.04,1.11,0,1801,-17.3686,-97,-99,1545,1,0,0,0,0,4191,668,0,1,20220513,-25.3,-30.6,229.9,-119.8,217.3,158.9,170.1,-4.6,-0.4,-0.4,350.0,104,54,-25,0,1,0,1,1,1,0,0,1,5,5.2,17.3,12.8,-9.1,2.6,-17.4,-7.7,9.3,28.2,43.5,-11.9,9.0,13.0,18.2,-1.4,0.0,237.6,369.2,-108.2,360.0,-153.1,-450.1,220.2,-61.9,310.4,-211.4,-170.4,286.6,-93.2,514.6,-16.7,169.8,633.3,-96.9,-800.0,-1168.3,-206.4,185.9,-146.7,149.9,-169.8,-57.0,245.5,-129.3,174.7,-16.7,172.3,633.3,-96.9,-800.0,-1166.6,-206.4,185.8,-146.7,150.0,-169.8,-57.0,245.6,-129.3,174.7,1048,13,-6,1182,61,32,1075,-5,1,1103,13,-7,-98,520,16,-114,280,273,260,262,231,252,284,336,14,6,-31,7,-7,-20,37,3,-1,11,-20,11,-8,-12,17,-5,-10,182,-329,177,-124,-194,283,-83,62.0,331,16,4,,0.001603720631865929,322.0,-0.052164840897235255,330.0,0.061162079510703356,392.0,0.13986013986013984,340.0,346.0,23.0,25.0,53.0,73.0,43.5,255.5,29.0,36.0,106.83333333333333
