,코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),22년1Q 호실적 100기업,2Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 18년->21년 3년간 YOY,매출액 연환산 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 21년 YOY,매출액 21년2Q YOY,매출액 21년3Q YOY,매출액 21년4Q YOY,매출액 22년1Q YOY,매출액 22년2Q(E) YOY,매출액 21년2Q QOQ,매출액 21년3Q QOQ,매출액 21년4Q QOQ,매출액 22년1Q QOQ,매출액 22년2Q(E) QOQ,영업이익 18년->21년 3년간 YOY,영업이익 연환산 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 21년 YOY,영업이익 21년2Q YOY,영업이익 21년3Q YOY,영업이익 21년4Q YOY,영업이익 22년1Q YOY,영업이익 22년2Q(E) YOY,영업이익 21년2Q QOQ,영업이익 21년3Q QOQ,영업이익 21년4Q QOQ,영업이익 22년1Q QOQ,영업이익 22년2Q(E) QOQ,순이익 18년->21년 3년간 YOY,순이익 연환산 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 21년 YOY,순이익 21년2Q YOY,순이익 21년3Q YOY,순이익 21년4Q YOY,순이익 22년1Q YOY,순이익 22년2Q(E) YOY,순이익 21년2Q QOQ,순이익 21년3Q QOQ,순이익 21년4Q QOQ,순이익 22년1Q QOQ,순이익 22년2Q(E) QOQ,EPS 18년->21년 3년간 YOY,EPS 연환산 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 21년 YOY,EPS 21년2Q YOY,EPS 21년3Q YOY,EPS 21년4Q YOY,EPS 22년1Q YOY,EPS 22년2Q(E) YOY,EPS 21년2Q QOQ,EPS 21년3Q QOQ,EPS 21년4Q QOQ,EPS 22년1Q QOQ,EPS 22년2Q(E) QOQ,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,21년 매출액,21년 영업이익,21년 순이익,18년 EPS,19년 EPS,20년 EPS,21년 EPS,매출액 20년2Q,매출액 20년3Q,매출액 20년4Q,매출액 21년1Q,매출액 21년2Q,매출액 21년3Q,매출액 21년4Q,매출액 22년1Q,영업이익 20년2Q,영업이익 20년3Q,영업이익 20년4Q,영업이익 21년1Q,영업이익 21년2Q,영업이익 21년3Q,영업이익 21년4Q,영업이익 22년1Q,순이익 20년2Q,순이익 20년3Q,순이익 20년4Q,순이익 21년1Q,순이익 21년2Q,순이익 21년3Q,순이익 21년4Q,순이익 22년1Q,EPS 20년2Q,EPS 20년3Q,EPS 20년4Q,EPS 21년1Q,EPS 21년2Q,EPS 21년3Q,EPS 21년4Q,EPS 22년1Q,EPS 22년2Q(E),발표치 22년2Q  매출액,발표치 22년2Q  영업이익,발표치 22년2Q  순이익,Unnamed: 272,발표 분기 PER_역수,발표 분기 PER_rank,분기 PFCR_역수,분기 PFCR_rank,발표 PBR_역수,발표 PBR_rank,발표 분기 PSR_역수,발표 분기 PSR_rank,밸류종합순위,영업이익 22년2Q(E) YOY_순위,영업이익 22년2Q(E) QOQ_순위,순이익 22년2Q(E) YOY_순위,순이익 22년2Q(E) QOQ_순위,이익모멘텀_종합순위,과거GP/A_rank,자산증가율 (최근분기)_rank,(영업이익/차입금) 증가율_rank,퀄리티_종합순위,대형주_울트라_종합순위
0,A004170,신세계,유통,면세점,코스피,217500,21413,984,1,0.1,0.0,-0.2,4.1,-0.2,-12.1,-1.6,-13.5,-20.6,-19.4,34.09,60.7,63.27,6.9,8.24,9.26,5.29,6.85,5.9,9.35,2.97,2.22,3.65,5.26,7.1,0.32,0.32,0.3,0.005577,0.060631,3.35,1.15,0.54,0.75,0.56,11.8,5.98,5.98,5.98,4.42,5.05,3.84,3.84,3.27,-276.67,37,56.67,141,215,11,84,9.62,1.38,114.29,1.25,0.41,0.43,0.01902,0.96567,82147,38291,22903,7811,44034,10061,120438,67630,5575,3579,388936,36350,12089,41028,9667,-8920,3122,5598,3000,45.41,83.96,85.81,-45.91,-47.08,218000,247500,221000,251500,274000,281000,208500,1,1,0,0,77,4,0.01,-0.02,-0.02,-0.04,0.1,0.06,-0.6,-0.1,-0.7,-0.6,1.19,0.59,1.02,2.94,3.96,105,3,2.18458,11,67,291,1,0,0,0,0,243251,364234,0,0,20220511,55.1,18.3,1022.0,-38.4,98.1,805.3,1002.3,5.4,7.8,7.8,175.0,13,42,4069,1,1,1,1,1,1,1,1,1,9,21.8,38.2,23.3,-25.4,32.4,37.6,37.3,43.9,33.8,,5.7,19.5,16.0,-8.7,,30.2,174.2,17.7,-81.1,484.6,298.2,307.1,89.2,32.4,,-22.1,6.4,90.6,-16.2,,28.4,1072.3,120.3,-119.7,396.4,103.6,3215.6,367.6,72.9,,-94.1,4183.0,-67.4,111.6,,28.4,1072.3,120.3,-119.7,396.4,103.6,3215.6,367.6,72.9,,-94.1,4183.1,-67.4,111.6,,51857,3974,2390,63942,4678,5264,47693,885,-1035,63164,5174,3068,24276,53468,-10513,31162,10144,12144,13436,13200,13953,16671,19340,17665,-486,252,1032,1236,962,1024,1952,1636,-1134,-56,122,700,41,1756,572,1210,-11517,-572,1242,7108,416,17832,5808,12293,,0,0,0,,0.22624434389140272,52.0,0.14084507042253522,54.0,1.7857142857142856,47.0,3.3333333333333335,69.5,55.625,,,,,,88.0,122.5,56.0,88.83333333333333,72.22916666666666
1,A000270,기아,자동차 및 관련부품,완성차,코스피,80900,327939,40536,443,1.1,0.0,-1.3,2.3,4.8,-3.1,2.3,-3.0,-6.4,85.6,19.96,19.0,19.56,3.5,8.44,10.21,7.05,8.6,6.3,14.42,7.77,5.09,8.52,6.58,12.6,0.46,0.44,0.37,0.117905,0.108728,5.51,1.72,0.35,0.66,0.89,10.3,6.12,6.89,6.19,4.36,3.15,5.86,5.17,3.67,-8.35,101,135.41,96,96,58,28,25.27,3.71,215.79,4.81,0.97,1.16,0.01762,0.86841,333470,348417,306101,77517,193785,172827,681887,751744,63427,52963,90592,13066,78462,136219,64446,-30186,-18761,14636,3000,1766.27,1239.8,1181.51,42.46,49.49,77200,83500,79100,83400,86400,88100,68800,0,1,0,1,92,18,-0.02,-0.06,-0.08,-0.05,0.08,0.03,0.09,-0.14,-0.05,-0.5,1.42,0.92,-0.16,1.32,1.16,93,154,0.54412,17,61,307,1,0,0,0,0,95196,130843,0,1,20220722,20.6,9.8,120.3,0.9,42.3,38.2,33.6,6.6,14.2,14.2,132.0,11,39,49810,1,1,1,1,1,1,1,1,1,9,29.0,10.3,7.3,1.8,18.1,61.3,8.8,1.6,10.7,19.3,10.6,-3.2,-3.2,6.8,19.2,337.6,57.0,73.6,2.8,145.1,924.5,579.7,-8.3,49.2,50.2,38.2,-10.8,-11.4,36.7,39.1,311.8,52.5,58.0,-18.6,220.0,963.2,748.8,29.8,-0.2,40.1,29.7,-15.5,10.0,-17.2,82.1,311.8,52.5,58.0,-18.6,220.0,963.2,748.8,29.8,-0.2,40.1,29.7,-15.5,10.0,-17.2,82.1,541698,11575,11559,581460,20097,18267,591681,20665,14876,698624,50657,47605,2852,4506,3670,11744,113688,163218,169106,165817,183395,177528,171884,183572,1452,1952,12816,10764,14872,13270,11751,16065,1263,1337,9616,10350,13429,11347,12478,10328,312,330,2372,2553,3313,2799,3078,2548,4640.0,218760,22341,18811,,0.2293577981651376,50.0,0.07936507936507936,81.0,1.1235955056179776,99.0,2.7027027027027026,79.5,77.375,12.0,9.0,8.0,3.0,8.0,189.0,137.5,70.0,132.16666666666666,72.51388888888889
2,A069960,현대백화점,유통,백화점,코스피,65900,15422,2340,155,6.6,0.0,-0.9,4.6,-7.8,-13.3,-3.5,-20.0,-19.3,-13.1,30.46,67.2,69.92,13.8,7.54,9.51,5.45,6.69,4.6,4.66,2.47,3.76,4.0,8.85,8.99,0.4,0.4,0.41,0.065026,0.139909,2.52,1.38,0.31,0.48,0.34,10.4,6.91,7.4,7.4,6.17,4.34,5.35,5.35,4.34,-109.59,86,102.16,75,89,14,39,12.69,1.67,38.01,1.54,0.4,0.52,0.01562,0.87123,39636,44711,22735,3570,16137,5673,84347,38236,2882,2085,191055,8909,5976,25692,4102,-3457,-1465,2359,1100,17.77,30.06,37.57,-40.89,-52.71,71500,76000,68300,82400,81700,86400,63000,1,0,0,0,76,5,-0.01,-0.02,-0.03,-0.07,0.07,0.0,-1.03,0.43,-0.6,-0.48,2.54,2.06,0.44,2.51,2.95,305,9,0.49053,79,35,391,1,0,0,0,0,118142,89173,0,0,20220510,64.7,9.9,110.0,145.8,1.6,40.1,104.2,1.7,4.7,4.7,55.6,70,34,1743,1,1,1,1,1,1,1,1,1,9,91.8,52.5,18.1,3.4,57.2,67.2,39.6,70.7,36.8,,26.4,7.1,19.0,-15.1,,-25.9,55.0,-18.1,-53.5,94.6,609.5,6.3,38.2,36.7,,-11.2,-17.6,98.2,-5.6,,-20.8,113.8,-18.8,-63.8,169.4,377.5,88.6,201.1,44.1,,-6.6,32.2,-3.1,20.3,,-20.8,113.8,-18.8,-63.8,169.4,377.5,88.6,201.1,44.1,,-6.6,32.2,-3.1,20.3,,18622,3567,2390,21990,2922,1941,22732,1359,703,35724,2644,1894,10213,8294,3004,8093,5166,6623,6446,6832,8638,9248,11006,9344,81,447,681,650,577,475,942,889,85,284,172,434,405,536,519,625,363,1214,737,1853,1731,2289,2218,2670,,0,0,0,,0.1620745542949757,78.0,0.11123470522803114,61.0,2.941176470588235,14.0,2.4390243902439024,89.0,60.5,,,,,,104.0,82.0,125.0,103.66666666666667,82.08333333333334
3,A005380,현대차,자동차 및 관련부품,완성차,코스피,191000,408106,21366,1490,7.0,0.0,1.1,4.1,11.7,2.1,2.4,-8.0,-15.3,46.4,9.89,18.8,19.05,3.7,6.38,8.28,4.95,7.79,4.3,7.95,2.72,44.35,4.79,-12.22,10.41,0.34,0.32,0.28,0.103318,0.061591,3.4,1.29,0.26,0.47,0.52,11.0,6.08,7.85,6.54,3.64,10.28,5.87,5.07,3.42,-244.79,64,83.38,184,203,6,131,26.32,2.62,47.06,3.38,0.89,0.82,0.01562,0.89402,1535016,756990,536008,122943,598343,228467,2292006,1261922,80451,62416,367403,29212,116178,226671,9203,-34864,50992,42596,5000,2620.49,2295.05,1970.28,14.18,33.0,171000,187000,186500,207500,225500,225500,163000,1,1,1,1,85,17,-0.01,0.12,0.11,0.02,0.13,0.15,0.12,0.29,0.41,0.24,0.34,0.58,0.24,-1.39,-1.15,148,100,0.77491,46,53,337,1,0,0,0,0,279375,292554,0,1,20220721,7.5,3.6,148.7,41.7,63.2,48.2,50.5,9.5,8.5,8.5,100.0,10,37,-33393,1,1,1,0,0,0,1,1,1,6,21.5,10.2,9.2,-1.7,13.1,38.7,4.7,6.1,10.6,18.7,10.7,-4.8,7.5,-2.3,18.8,175.7,79.5,48.9,-33.6,178.9,219.5,612.0,21.9,16.4,58.0,13.8,-14.8,-4.8,26.1,54.5,227.7,63.3,97.6,-52.2,247.0,674.8,488.7,-48.9,19.4,59.1,32.7,-25.9,-58.1,189.8,76.9,227.7,63.3,97.6,-52.2,247.0,674.8,488.7,-48.9,19.4,59.1,32.7,-25.9,-58.1,189.8,76.9,968126,24222,15081,1057464,36055,29800,1039976,23947,14244,1176106,66789,49424,7058,13947,6666,23131,218590,275758,292434,273909,303261,288672,310265,302986,5903,-3138,12544,16566,18860,16067,15297,19289,2274,-3361,10698,13273,17619,13063,5469,15849,1064,-1573,5007,6212,8246,6114,2560,7418,13121.0,359999,29798,28035,,0.2747252747252747,36.0,0.09606147934678194,66.0,1.923076923076923,37.5,3.571428571428571,61.0,50.125,10.0,7.0,7.0,4.0,7.0,316.0,169.5,86.5,190.66666666666666,82.59722222222221
4,A004020,현대제철,철강 및 비철강,제철,코스피,33050,44104,13344,190,1.4,0.0,-1.6,5.3,4.4,-22.0,-13.7,-25.5,-37.0,-16.3,10.6,15.8,14.09,4.8,11.41,9.99,6.94,6.82,2.4,9.55,4.65,2.26,2.9,3.84,4.16,0.18,0.18,0.16,0.001458,0.018282,0.61,0.77,0.14,0.35,0.24,14.2,2.52,2.55,2.55,2.32,3.27,1.55,1.55,1.58,-120.15,85,172.25,103,105,21,72,9.0,3.03,47.83,2.53,0.52,0.95,0.02113,1.24615,190522,180829,137529,69349,34788,1718,371351,249022,28410,17277,135506,12946,44318,39455,19524,-11234,-5705,8024,1000,134.89,123.81,131.31,8.95,2.73,31650,42350,38300,44350,52500,54100,31000,1,1,0,0,61,7,-0.1,0.0,-0.1,-0.17,0.2,0.03,-0.85,0.5,-0.35,-1.54,0.59,-0.95,-1.47,0.36,-1.11,220,71,1.41242,172,292,48,1,0,0,0,0,89882,129617,0,0,20220426,161.0,103.1,1654.0,-11.4,414.0,1317.5,1619.1,6.1,8.5,8.5,600.0,49,102,11500,1,1,1,1,1,1,1,1,1,9,10.0,36.2,-1.3,-12.1,26.8,36.7,31.3,34.7,41.7,,14.1,4.2,9.9,8.4,,138.5,598.7,-67.7,-78.0,3252.7,3804.5,2375.5,1293.9,129.5,,79.4,51.5,-6.6,-9.7,,266.5,1748.9,-95.7,-2614.6,439.9,3113.7,1391.6,228.4,126.9,,59.7,74.5,-43.3,43.6,,266.5,1748.9,-95.7,-2614.6,439.9,3113.7,1391.6,228.4,126.9,,59.7,74.5,-43.3,43.6,,207804,10261,3987,205126,3313,171,180234,730,-4300,228499,24475,14614,2988,128,-3222,10951,41133,44616,47806,49274,56219,58602,64405,69797,140,334,554,3039,5453,8262,7721,6974,-111,-453,-2582,2099,3352,5849,3315,4761,-83,-339,-1935,1573,2512,4383,2484,3568,,0,0,0,,0.4310344827586207,11.0,0.24038461538461536,37.0,4.166666666666667,2.5,6.25,22.0,18.125,,,,,,296.0,132.0,17.0,148.33333333333334,83.22916666666667
5,A005440,현대그린푸드,식음료,식료품,코스피,7670,7494,9770,1040,10.6,0.0,0.9,3.2,0.5,-16.3,4.9,-20.4,-24.8,-38.9,22.29,16.7,17.27,3.0,1.67,2.51,1.23,3.28,4.8,2.42,1.64,8.47,3.66,46.84,5.23,0.21,0.21,0.2,-0.483761,2.66522,6.96,1.7,0.39,0.66,0.41,13.9,15.19,16.98,16.98,6.13,5.29,12.53,12.53,7.99,14.54,121,178.98,39,48,61,5,42.19,2.74,84.97,2.45,0.24,0.86,0.01632,0.86038,8686,18214,9776,3193,13076,6689,26900,35911,598,441,18641,452,1305,5983,884,25,-869,724,210,7.57,9.44,10.13,-19.78,-25.27,7630,9160,7310,9630,10200,10200,7310,1,1,0,0,75,5,-0.02,0.03,0.0,-0.13,0.09,-0.04,-0.14,0.19,0.05,0.17,0.21,0.38,0.25,-0.56,-0.31,314,5,1.69888,40,-41,904,1,0,0,0,0,10771,4519,0,0,20220512,12.1,-2.2,-33.0,-69.2,-22.7,-41.4,-34.0,-3.0,-1.7,-1.7,17.3,45,32,160,1,1,0,1,1,0,1,0,1,6,7.2,11.1,-3.9,3.7,7.6,9.4,10.6,11.8,12.7,,3.9,4.0,1.3,3.0,,-57.3,-14.3,-34.5,-12.6,-25.4,17.5,-39.9,-266.5,5.4,,16.4,-45.8,-125.3,760.9,,-57.8,-35.1,-46.8,29.7,-38.8,17.8,36.8,-1255.7,2.3,,-21.4,21.8,-234.8,179.2,,-57.8,-35.1,-46.8,29.7,-38.8,17.8,36.8,-1255.8,2.3,,-21.4,21.8,-234.8,179.2,,32517,1372,1031,31243,899,548,32385,786,711,34861,586,435,1055,561,728,445,7858,8081,8099,8273,8596,8939,9052,9323,220,234,21,222,259,140,-35,234,200,209,-28,299,235,286,-386,306,204,214,-29,306,241,293,-395,313,,0,0,0,,0.1631321370309951,75.0,0.19120458891013384,45.0,2.4390243902439024,23.5,5.0,32.0,43.875,,,,,,166.5,34.0,174.0,124.83333333333333,84.35416666666666
6,A003070,코오롱글로벌,건설 및 건축자재,중견건설사,코스피,18150,4576,2521,8,0.3,0.0,-6.4,21.8,29.2,-8.8,0.6,-29.0,-25.8,111.0,21.09,11.5,12.16,3.4,5.28,5.1,3.07,3.54,10.8,23.6,5.63,1.53,2.64,1.58,2.95,0.1,0.1,0.1,0.063286,0.117695,2.31,1.24,0.23,0.69,0.74,6.1,3.11,3.12,3.12,2.86,3.2,1.81,1.81,1.98,-177.08,69,79.07,317,319,32,126,9.18,2.75,269.57,4.91,0.0,0.86,0.03074,1.48078,19839,6213,11736,1466,9540,542,26052,47770,2524,1466,24642,5813,3178,5494,2991,-1533,-1609,86,500,69.65,91.53,25.34,-23.91,174.91,14050,19900,18050,25550,24450,32050,14050,1,1,1,0,57,29,-0.19,-0.03,-0.22,-1.28,-0.08,-1.36,-1.2,-0.23,-1.43,-0.95,-0.29,-1.24,-0.9,-0.61,-1.51,67,221,0.48897,102,221,91,1,0,0,0,0,36706,58254,0,0,20220504,16.6,8.1,43.4,138.3,17.1,32.9,19.6,4.2,24.8,24.8,52.4,25,11,2905,1,1,1,1,1,0,1,1,1,8,41.4,12.4,3.7,12.7,20.9,33.3,19.6,-0.2,2.5,,12.6,-5.6,5.3,-8.4,,214.5,31.8,63.5,40.4,36.9,53.3,36.4,12.5,23.3,,59.3,-7.5,-25.7,12.6,,750.9,49.3,120.9,129.4,67.9,82.5,56.5,15.9,24.3,,52.2,-4.3,-77.3,275.8,,750.9,49.3,120.9,129.4,67.9,82.6,56.5,15.9,24.3,,52.2,-4.3,-77.3,275.8,,33583,768,163,34841,1256,360,39282,1764,826,47495,2415,1387,647,1428,3276,5502,9313,9792,12361,11029,12415,11714,12337,11305,486,506,455,468,745,690,512,577,268,300,92,322,490,469,106,400,1065,1189,364,1277,1944,1860,422,1587,,0,0,0,,0.3496503496503497,19.0,0.3389830508474576,25.0,1.3513513513513513,76.5,10.0,9.5,32.5,,,,,,178.0,109.5,129.0,138.83333333333334,85.66666666666667
7,A001230,동국제강,철강 및 비철강,제강,코스피,12600,12025,9543,393,4.1,0.0,-1.2,5.4,-2.3,-30.8,-8.7,-26.3,-41.7,85.3,20.12,16.0,14.14,5.0,11.28,9.66,9.95,12.58,-0.4,27.12,12.51,3.02,0.91,4.92,1.02,0.15,0.15,0.14,0.005489,0.001155,0.62,0.93,0.18,0.45,0.41,57.8,1.45,1.52,1.52,1.12,2.56,1.34,1.34,1.46,-60.18,46,89.99,112,117,44,67,6.79,3.17,314.45,4.93,0.0,0.99,0.02813,1.6163,34180,29260,26943,13037,3768,2141,63440,79758,8994,7936,30659,8316,11068,12781,3977,890,-3155,1534,400,41.45,36.55,51.4,13.39,-19.36,12900,18200,13800,17100,21600,22250,11950,1,0,0,0,57,5,-0.04,-0.06,-0.09,-0.12,0.06,-0.06,-1.05,0.33,-0.72,-1.91,0.56,-1.35,-0.75,0.81,0.06,126,127,0.69086,214,561,13,1,0,0,0,0,39606,83284,0,0,20220429,65.4,31.4,219.4,-29.8,74.1,153.8,164.7,18.0,42.4,42.4,193.3,41,60,2443,1,1,1,0,1,1,1,1,1,8,21.4,48.4,-5.1,-8.0,39.1,39.6,47.0,53.8,52.7,,30.3,4.9,11.1,0.6,,453.8,158.5,13.5,79.0,172.5,107.4,248.4,254.5,88.1,,89.1,44.2,-37.0,9.4,,284.8,276.9,77.0,195.0,745.6,132.7,433.6,114.1,969.6,,478.8,34.4,-4.9,44.6,,284.8,276.9,77.0,195.0,745.6,132.7,433.6,114.1,969.5,,478.9,34.4,-4.9,44.6,,59649,1450,-2979,56584,1646,-685,52062,2947,651,72403,8030,5505,-3122,-718,682,5768,13019,12975,13784,13958,18180,19070,21195,21313,998,857,530,1094,2070,2985,1881,2058,624,365,866,251,1451,1950,1854,2681,654,383,907,263,1521,2043,1942,2810,,0,0,0,,0.8928571428571428,5.5,0.9803921568627451,12.0,2.4390243902439024,23.5,7.142857142857142,18.5,14.875,,,,,,187.5,251.0,50.0,162.83333333333334,88.85416666666667
8,A032640,LG유플러스,통신,통신서비스,코스피,12150,53048,43661,678,1.6,0.0,-1.6,1.7,-9.0,-17.3,-4.3,-18.2,-18.7,-5.8,73.31,100.0,100.0,6.5,6.97,7.66,4.95,4.98,7.8,8.91,3.63,1.54,2.0,4.29,7.5,0.38,0.38,0.39,0.23858,-0.578519,5.33,1.38,0.65,0.91,0.69,11.5,7.61,7.73,7.73,7.81,3.19,5.5,5.5,5.08,-114.39,97,102.6,140,145,16,77,33.35,4.53,83.33,4.68,0.0,1.42,0.01392,0.46076,111903,76943,51222,2875,16016,647,188846,138444,9646,6858,17622,1571,34208,138444,34341,-28762,-6109,21988,550,50.94,79.81,117.87,-36.17,-56.78,13350,14700,12700,14850,14950,15100,11950,0,0,0,0,80,2,-0.04,0.0,-0.03,-0.11,0.12,0.01,-0.55,-0.07,-0.62,-0.57,0.1,-0.47,-0.62,2.44,1.82,100,6,1.15574,24,29,416,1,0,0,0,0,15169,15727,0,0,20220513,-2.5,0.0,26.2,1085.5,0.3,29.6,26.8,4.8,4.3,4.3,14.3,44,8,12353,1,1,1,1,0,0,1,0,0,5,18.1,2.2,5.6,8.4,3.2,2.2,4.1,2.7,-0.2,,-2.1,3.9,3.9,-5.6,,32.2,2.4,-7.4,29.1,10.5,12.0,10.2,-9.8,-5.2,,-2.6,3.1,-42.8,65.1,,47.9,32.4,-8.9,6.4,52.6,41.5,-47.0,143.9,-13.5,,6.0,1.1,-53.6,74.2,,47.9,32.4,-8.9,6.4,52.6,41.5,-47.0,143.9,-13.5,,6.0,1.1,-53.6,74.2,,117257,7407,4816,123820,6862,4389,134176,8862,4668,138511,9790,7123,1103,1005,1069,1631,32726,33410,35173,34168,33455,34774,36114,34100,2397,2512,1755,2756,2684,2767,1582,2612,1471,3969,-2222,1964,2081,2104,975,1699,337,909,-509,450,477,482,223,389,,0,0,0,,0.12804097311139565,98.0,0.13333333333333333,58.0,1.4492753623188408,69.5,2.564102564102564,85.0,77.625,,,,,,11.0,116.5,179.0,102.16666666666667,89.89583333333334
9,A017670,SK텔레콤,통신,통신서비스,코스피,51800,113356,21883,80,0.4,-47.6,-0.6,-3.2,-3.4,-12.2,-6.7,-3.8,-1.6,22.3,56.73,100.0,100.0,7.7,8.55,10.11,12.18,4.94,10.6,17.91,6.91,2.09,2.19,4.38,5.16,0.67,0.67,0.66,0.089723,-0.702094,5.45,1.67,0.63,0.95,0.99,9.3,5.48,5.5,5.5,13.41,3.79,7.84,7.84,6.55,-103.75,91,94.37,149,159,13,89,29.78,5.14,35.39,7.7,4.3,1.61,0.01742,0.45203,183052,115056,65448,2234,56994,22186,298108,169127,14453,20605,52576,6044,54724,169127,54349,-37631,-20166,28471,2660,209.02,309.95,353.09,-32.56,-40.8,53600,59000,55500,53831,52624,62700,49087,0,0,0,0,83,6,-0.05,0.0,-0.05,-0.51,0.19,-0.32,-0.85,0.91,0.06,-1.95,0.81,-1.14,-3.79,3.81,0.02,68,57,0.43866,33,82,257,1,0,0,0,0,69048,94316,0,0,20220510,69.6,0.0,85.5,0.9,1.9,9.3,144.0,-36.7,-51.9,3.0,18.2,43,5,25878,1,1,1,1,0,0,1,0,1,6,-0.7,7.4,5.1,-9.3,4.1,4.7,5.0,23.8,4.0,,17.1,3.1,-42.6,50.1,,15.4,9.4,-7.8,12.7,11.1,10.8,11.7,-6.5,15.5,,6.0,0.9,-45.9,99.8,,-23.0,17.5,-71.6,69.3,60.0,79.2,104.7,-22.3,-62.2,,37.2,2.4,-61.8,-29.4,,64.6,61.3,-71.6,69.3,242.2,100.8,129.4,66.1,-19.1,,53.7,2.4,-27.2,-29.4,,168740,12018,31279,177407,11082,8887,160877,12486,15044,167486,13872,24075,6684,1899,3215,11002,46033,47314,23024,41131,48183,49675,28497,42772,3578,3580,2315,3742,3966,4000,2164,4324,4274,3830,3854,5583,7658,7842,2993,2113,913,818,824,1193,1834,1878,1368,965,,0,0,0,,0.07457121551081282,162.0,0.19379844961240308,43.0,1.0101010101010102,109.5,1.5151515151515151,143.0,114.375,,,,,,29.0,4.0,171.5,68.16666666666667,91.27083333333334
