,코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),21년4Q 호실적 100기업,1Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 18년->21년 3년간 YOY,매출액 연환산 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 21년 YOY,매출액 21년1Q YOY,매출액 21년2Q YOY,매출액 21년3Q YOY,매출액 21년4Q YOY,매출액 22년1Q(E) YOY,매출액 21년1Q QOQ,매출액 21년2Q QOQ,매출액 21년3Q QOQ,매출액 21년4Q QOQ,매출액 22년1Q(E) QOQ,영업이익 18년->21년 3년간 YOY,영업이익 연환산 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 21년 YOY,영업이익 21년1Q YOY,영업이익 21년2Q YOY,영업이익 21년3Q YOY,영업이익 21년4Q YOY,영업이익 22년1Q(E) YOY,영업이익 21년1Q QOQ,영업이익 21년2Q QOQ,영업이익 21년3Q QOQ,영업이익 21년4Q QOQ,영업이익 22년1Q(E) QOQ,순이익 18년->21년 3년간 YOY,순이익 연환산 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 21년 YOY,순이익 21년1Q YOY,순이익 21년2Q YOY,순이익 21년3Q YOY,순이익 21년4Q YOY,순이익 22년1Q(E) YOY,순이익 21년1Q QOQ,순이익 21년2Q QOQ,순이익 21년3Q QOQ,순이익 21년4Q QOQ,순이익 22년1Q(E) QOQ,EPS 18년->21년 3년간 YOY,EPS 연환산 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 21년 YOY,EPS 21년1Q YOY,EPS 21년2Q YOY,EPS 21년3Q YOY,EPS 21년4Q YOY,EPS 22년1Q(E) YOY,EPS 21년1Q QOQ,EPS 21년2Q QOQ,EPS 21년3Q QOQ,EPS 21년4Q QOQ,EPS 22년1Q(E) QOQ,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,21년 매출액,21년 영업이익,21년 순이익,18년 EPS,19년 EPS,20년 EPS,21년 EPS,매출액 20년1Q,매출액 20년2Q,매출액 20년3Q,매출액 20년4Q,매출액 21년1Q,매출액 21년2Q,매출액 21년3Q,매출액 21년4Q,영업이익 20년1Q,영업이익 20년2Q,영업이익 20년3Q,영업이익 20년4Q,영업이익 21년1Q,영업이익 21년2Q,영업이익 21년3Q,영업이익 21년4Q,순이익 20년1Q,순이익 20년2Q,순이익 20년3Q,순이익 20년4Q,순이익 21년1Q,순이익 21년2Q,순이익 21년3Q,순이익 21년4Q,EPS 20년1Q,EPS 20년2Q,EPS 20년3Q,EPS 20년4Q,EPS 21년1Q,EPS 21년2Q,EPS 21년3Q,EPS 21년4Q,EPS 22년1Q(E),발표치 22년1Q  매출액,발표치 22년1Q  영업이익,발표치 22년1Q  순이익,Unnamed: 272,발표 분기 PER_역수,발표 분기 PER_rank,분기 PFCR_역수,분기 PFCR_rank,발표 PBR_역수,발표 PBR_rank,발표 분기 PSR_역수,발표 분기 PSR_rank,밸류종합순위,영업이익 22년1Q(E) YOY_순위,영업이익 22년1Q(E) QOQ_순위,순이익 22년1Q(E) YOY_순위,순이익 22년1Q(E) QOQ_순위,이익모멘텀_종합순위,과거GP/A_rank,자산증가율 (최근분기)_rank,(영업이익/차입금) 증가율_rank,퀄리티_종합순위,밸류_이익모멘텀_종합순위
0,A088980,맥쿼리인프라,운송 및 물류,운송인프라,코스피,14200,57488,40484,0,0.0,8.77,0.0,0.7,0.4,3.6,0.4,13.1,14.1,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,14,157.01,5.27,-100.0,2.47,0.0,1.7,0.00631,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,127.46,112.32,102.55,13.47,24.29,14150,13700,14150,12550,12450,14250,12200,1,1,1,1,100,16,-0.06,-0.03,-0.09,-0.15,0.07,-0.09,-0.26,-0.16,-0.42,-2.52,0.54,-1.98,-3.44,0.41,-3.03,0,0,0.0,-100,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,inf,7.0,inf,50.5,inf,5.0,inf,10.0,18.125,,,,,,2086.0,417.0,1175.0,1226.0,18.125
1,A066110,한프,전기 및 전자기기,전자기기,코스피,0,0,0,0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,0.0,0.0,105.35,-142.4,-256.67,90.07,273.33,-295.25,-56.7,15.44,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,0.49,2.46,0.0,-4.8,0.0,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,195,196.32,116,116,-39.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617,531,791,6,192,0,1148,30,-77,82,0,0,-71,-4,119,-1,-40,2,0,0.0,0.0,0.0,0.0,0.0,0,1130,1130,1130,1130,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-31.8153,0,0,0,1,0,0,0,0,0,0,0,0,20220311,100.0,100.0,136.7,-1.7,-38.2,185.4,123.8,136.2,264.3,0.0,-105.3,144,72,117,1,1,1,1,1,1,1,0,0,7,-69.4,1.6,-46.9,-42.3,0.0,-14.9,660.0,430.6,-424.6,,-36.2,341.0,-12.5,-231.8,,51.0,-40.4,36.3,45.0,-40.0,21.8,-160.4,-12.0,-82.5,,1.0,-6.2,65.2,-398.4,,127.8,186.8,34.2,51.5,187.2,-161.3,120.1,226.8,310.8,,22.1,109.9,126.8,1109.4,,107.0,0.0,43.4,51.6,125.5,-161.5,105.8,136.9,0.0,,22.1,102.9,126.8,0.0,,98,-157,-295,52,-100,-194,30,-55,-94,30,-77,82,-1528,-865,-419,107,9,4,5,11,7,32,28,-37,-23,-7,-6,-18,-18,-19,-7,-33,-15,-20,-7,-52,-40,4,9,109,-69,-89,-32,-232,-181,5,12,0,,0,0,0,,inf,7.0,inf,50.5,inf,5.0,inf,10.0,18.125,,,,,,2086.0,2074.0,1882.0,2014.0,18.125
2,A039670,스포츠서울,미디어 및 엔터,미디어,코스피,0,0,0,0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,7.28,8.3,18.58,-36.7,-14.58,-8.08,-10.42,-8.23,-99.2,-18.52,-9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56,1.18,6.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,420,422.26,103,104,-34.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,54,60,0,43,0,110,96,-14,-10,0,0,-10,8,-44,-9,-3,76,0,0.0,0.0,0.0,0.0,0.0,0,7360,7360,7360,7360,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.05232,0,0,0,1,0,0,0,0,0,0,0,0,20220214,124.4,-99.5,-118.5,33.0,-100.9,99.6,-115.0,-28.5,-12.0,0.0,66.3,61,4,-120,0,0,0,0,1,0,1,1,1,4,-100.0,3820.9,6.8,-20.6,-100.0,144.0,-11.1,-20.2,18.8,,43.2,-34.2,-8.6,37.8,,100.0,65.6,5.1,37.5,100.0,47.9,33.0,88.1,82.0,,43.2,32.6,73.9,-80.2,,100.0,-113.2,42.7,117.2,-100.0,-105.7,38.2,-101.9,80.2,,82.1,-137.3,74.5,-82.1,,100.0,0.0,65.1,114.0,-100.0,-104.6,50.0,-101.9,0.0,,82.1,-137.3,74.5,0.0,,118,-59,-405,126,-56,-232,100,-35,40,0,0,0,-8892,-3107,434,0,-71,23,24,22,31,21,19,26,-13,-7,-10,-12,-7,-4,-1,-2,34,-7,60,-11,-2,-5,-1,-2,451,-99,652,-117,-21,-50,-13,0,,0,0,0,,inf,7.0,inf,50.5,inf,5.0,inf,10.0,18.125,,,,,,1634.0,48.0,698.0,793.3333333333334,18.125
3,A041140,넥슨지티,미디어 및 엔터,게임,코스피,0,0,0,0,0.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,26.7,74.9,62.61,-23.8,48.66,37.12,48.31,41.26,-3.3,19.38,17.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92,1.33,3.24,0.0,-167.3,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,1137,1137.66,13,13,233469.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,1398,899,0,266,0,1573,561,273,271,0,0,288,420,241,-19,-220,2,0,0.0,0.0,0.0,0.0,0.0,0,22100,15400,11550,13100,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.89926,0,0,0,1,0,0,0,0,0,0,1,0,20220208,127.2,21.0,539.4,724.1,334.5,240.5,447.7,7.3,25.2,0.0,1667540.0,103,0,239,1,1,1,0,1,1,1,1,1,8,72.6,101.5,-7.1,-7.9,101.8,29.0,112.4,179.1,113.6,,54.0,42.5,3.1,-5.5,,208.3,775.6,-13.9,110.8,780.6,163.7,584.3,97044.4,2363.5,,1812.2,108.8,-1.5,-37.3,,208.0,585.9,111.6,37.9,577.5,87.4,534.4,71100.0,989.4,,584.4,127.1,-1.8,-28.7,,208.0,0.0,111.6,37.9,577.5,87.3,534.4,71094.7,0.0,,584.3,127.1,-1.7,0.0,,325,-252,-251,302,-287,29,278,31,40,561,273,271,-710,82,113,766,82,71,56,69,106,151,156,147,16,13,0,2,42,89,87,55,20,14,0,6,38,87,85,61,58,39,0,16,108,245,241,0,,0,0,0,,inf,7.0,inf,50.5,inf,5.0,inf,10.0,18.125,,,,,,417.0,841.5,1.0,419.8333333333333,18.125
4,A900270,헝셩그룹,유아동산업,유아동산업,코스닥,478,396,8282,0,0.0,3.53,-9.8,50.8,27.1,21.0,8.9,-15.4,-26.7,-57.7,5.27,16.0,13.89,13.5,3.7,5.87,1.85,5.72,8.7,0.77,0.65,2.12,0.0,2.12,0.0,0.33,0.31,0.34,-1.17021,0.00331,2.15,1.57,0.11,0.43,0.13,4.8,16.5,61.88,16.5,5.88,-18.88,13.43,8.25,5.74,-143.69,0,528.81,0,18,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.03234,0.0,569,3109,0,0,0,0,3678,1298,48,24,3773,30,76,194,187,1,5,0,0,118.66,173.2,45.16,-31.49,162.77,376,395,439,565,652,656,316,1,1,1,1,73,51,0.0,0.07,0.07,0.0,-0.24,-0.24,0.0,-0.26,-0.26,0.0,-0.57,-0.57,0.0,-0.45,-0.45,1107,18,6.28294,319,-37,804,0,0,0,0,0,2007,298,0,1,20220530,-13.3,12.6,-57.5,12.0,386.8,-7.5,-20.7,9.6,10.4,6.7,0.0,206,20,187,1,1,0,1,1,1,0,1,0,6,-100.0,-5.3,10.4,-35.1,-100.0,-23.5,-32.1,-23.7,46.1,41.6,-6.1,49.1,19.7,-12.9,-8.9,-100.0,363.3,27.2,-88.6,-100.0,-103.0,-91.0,-69.7,104.1,1614.0,99.1,642.1,214.9,-74.4,245.9,-100.0,-12.6,31.5,-84.4,-100.0,-104.2,-145.6,-44.3,98.1,1835.1,98.8,-2324.7,237.8,-104.7,1200.0,-100.0,-14.1,31.5,-84.4,-100.0,-104.2,-145.6,-44.3,98.2,1776.2,98.8,-2325.8,237.8,-104.6,1200.0,2004,345,248,2212,439,326,1435,50,51,0,0,0,310,408,64,0,271,456,486,221,208,310,371,323,39,68,64,-121,-1,6,19,5,23,52,58,-81,-1,-24,32,-2,29,64,73,-102,-1,-29,41,-2,20.0,294,17,17,,0.17006802721088435,238.0,inf,50.5,7.692307692307692,11.5,2.941176470588235,299.5,149.875,30.0,207.0,26.0,52.0,78.75,1783.5,1000.5,1175.0,1319.6666666666667,114.3125
5,A049520,유아이엘,IT 장비 및 소재,스마트폰 부품,코스닥,2240,488,2178,80,3.7,0.0,0.5,0.2,-0.9,13.7,-14.0,-32.7,-43.1,-56.1,3.43,2.7,3.55,1.0,-1.46,2.25,-4.84,3.02,1.9,-9.57,-6.48,29.38,3.39,244.0,3.53,0.18,0.17,0.15,-0.212426,0.006663,-1.22,1.44,0.3,0.66,0.34,27.3,-3.46,-2.98,-3.59,5.0,2.79,-7.35,-11.9,6.7,111.27,167,209.59,50,50,-32.0,15,0.0,0.0,-100.0,9.61,0.0,0.0,0.02743,0.73011,702,1397,1245,252,160,14,2099,2809,-41,-136,6524,-623,53,71,17,-162,19,15,0,0.5,0.41,0.41,23.37,21.91,2260,1970,2605,3330,3940,4480,1835,1,1,1,0,50,22,0.0,0.0,0.0,0.0,-0.01,-0.01,0.0,-0.11,-0.11,0.0,-0.41,-0.41,0.0,0.59,0.59,323,13,-1.38094,-103,-386,2219,1,0,0,0,1,-86,-6411,0,1,20220412,232.5,267.9,-27.9,101.5,67.1,-16.9,-23.8,-1.2,-5.3,-5.3,52.2,42,35,2,0,1,0,1,0,0,1,1,0,4,-37.1,0.1,-3.6,-26.9,-10.8,-21.6,-12.5,-12.5,6.2,21.5,-3.5,-34.2,89.9,-11.9,10.4,-178.6,67.1,6.0,-240.4,47.2,5.2,11.5,307.4,74.4,356.5,87.5,-693.8,120.5,-225.4,225.5,-274.5,-17.2,-11.7,-230.1,-51.9,-181.9,-149.9,566.6,2.9,750.1,93.7,-3160.0,116.1,-391.5,142.5,-274.5,-16.9,-11.7,-230.1,-51.9,-181.8,-149.9,566.2,2.9,750.4,93.7,-3163.1,116.1,-391.6,142.5,4236,84,94,4085,89,83,2988,-125,-108,2666,-66,-164,431,381,-496,-753,848,500,950,689,665,438,831,732,-7,-64,3,-57,-7,-56,12,-15,5,-49,-4,-59,-4,-122,20,-57,21,-225,-19,-271,-17,-561,90,-263,112.0,808,18,24,,0.2,190.0,0.28328611898017,329.5,2.941176470588235,48.0,6.666666666666667,94.5,165.5,139.0,229.0,71.0,408.0,211.75,1885.0,355.0,768.0,1002.6666666666666,188.625
6,A900120,씨케이에이치,식음료,식료품,코스닥,275,338,12301,0,0.0,11.42,-0.7,6.6,1.1,-0.4,-5.8,4.2,-18.4,-35.3,5.61,21.9,11.21,-39.7,5.77,4.21,6.07,4.32,-11.3,1.56,1.52,1.01,0.85,-0.43,0.85,0.32,0.33,0.37,0.049321,0.042239,0.49,26.4,0.05,0.12,0.09,-1.2,5.45,7.8,5.45,8.49,-0.57,8.34,5.73,8.71,195.56,710,728.33,3,3,384.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.04846,0.0,109,3963,770,19,3252,0,4072,1022,59,62,3232,53,281,228,335,-1122,18,1123,0,3.99,5.17,2.8,-22.86,42.59,272,276,292,264,337,380,211,1,1,1,0,72,30,0.0,-0.01,-0.01,0.0,-0.03,-0.03,0.0,-0.6,-0.6,0.0,-3.28,-3.28,0.0,-8.37,-8.37,29233,80,-2.37627,-88,78,217,0,0,0,0,0,32,492,0,1,20220530,5173.2,3604.6,107.8,56.8,125.8,108.8,109.7,13.0,14.7,3.0,126.3,80,7,-788,1,1,1,1,1,0,0,1,1,7,-28.0,26.1,-11.0,-51.0,65.0,183.5,243.7,14.3,-13.8,-8.2,1.4,32.4,-25.5,-13.8,8.1,105.9,132.5,4.7,15.0,107.3,94.0,141.6,-235.3,77.3,205.1,55.9,821.0,-118.1,60.5,304.2,106.9,111.1,4.5,-39.4,105.2,94.2,112.4,-209.5,83.9,212.6,52.4,861.4,-118.0,75.4,432.8,106.3,110.5,4.5,-39.4,104.8,94.2,111.7,-200.3,85.5,201.0,52.4,819.6,-117.5,75.9,432.8,1453,-765,-739,1293,-729,-706,634,-620,-984,1046,45,51,-669,-639,-891,42,88,97,216,247,251,332,247,213,-155,-160,9,-21,-9,67,-12,-5,-153,-542,11,-19,-9,67,-12,-3,-138,-491,10,-17,-8,58,-10,-2,8.0,230,10,10,,0.11778563015312131,400.5,1.1764705882352942,119.5,11.11111111111111,10.0,2.7027027027027026,339.5,217.375,258.0,158.0,217.0,153.0,196.5,1753.5,1179.0,432.0,1121.5,206.9375
7,A004360,세방,운송 및 물류,육상운송,코스피,12800,2472,1930,109,5.6,0.0,1.2,2.4,5.8,11.3,9.4,-5.2,-13.5,-6.6,7.58,8.9,8.14,2.1,3.56,5.42,5.51,7.93,4.1,7.09,5.26,6.68,3.77,12.12,6.44,0.23,0.21,0.18,0.036027,0.025508,1.02,0.55,0.18,0.3,0.27,7.2,3.57,4.71,3.79,2.26,3.34,8.48,5.86,3.31,2.87,151,154.81,39,39,28.0,12,8.46,1.56,17.34,1.72,0.8,0.5,0.01652,0.97453,3481,8943,3552,78,6089,4990,12424,11858,422,653,47720,3380,644,938,371,-25,-393,167,200,7.38,6.84,11.42,7.82,-35.39,12100,11500,11700,13500,14800,15150,10500,1,1,1,1,84,22,-0.04,0.1,0.06,-0.08,0.15,0.07,-0.53,0.29,-0.24,-0.47,0.44,-0.03,0.3,1.14,1.44,103,50,0.96719,156,171,98,1,0,0,0,0,32868,34744,0,1,20220513,16.2,-1.1,87.8,-7.3,92.4,46.2,92.9,6.9,6.5,6.5,100.0,56,3,204,1,1,1,0,0,1,1,0,1,6,62.3,40.7,11.0,16.4,25.6,0.3,16.0,46.6,42.4,59.2,1.4,19.2,8.4,8.6,13.4,156.1,171.1,41.2,1.9,78.0,-12.7,90.8,585.0,34.5,230.1,61.5,71.1,-6.0,-48.2,296.4,20.7,105.4,-84.3,377.9,61.2,-4.8,65.6,123.3,65.9,88.6,417.0,85.5,-52.9,-112.3,1852.9,20.7,105.2,-84.3,377.9,61.2,-4.8,65.6,123.3,65.9,88.6,417.0,85.5,-52.9,-112.3,1852.9,6517,114,434,7233,161,68,8422,164,325,10577,292,524,2248,352,1683,2714,2158,2223,1907,2134,2164,2579,2796,3038,65,51,13,35,57,97,91,47,152,162,57,-46,145,269,127,-16,788,840,293,-237,750,1391,655,-81,1414.0,3445,187,273,,0.4424778761061947,44.0,0.15527950310559005,559.0,3.7037037037037033,26.0,5.555555555555555,121.5,187.625,225.0,162.5,489.5,33.0,227.5,1608.0,815.0,533.5,985.5,207.5625
8,A200880,서연이화,자동차 및 관련부품,차량 시트,코스피,8890,2403,2702,1,0.0,0.0,3.5,10.3,26.5,32.3,24.7,20.1,-11.5,48.7,16.87,13.6,12.61,1.3,3.16,3.75,2.03,3.38,-0.6,6.69,2.61,1.28,0.84,2.23,1.23,0.11,0.11,0.1,0.015704,0.001321,1.84,1.4,0.11,0.31,0.35,-114.7,5.25,9.14,5.25,2.95,3.66,3.64,3.37,2.66,-133.58,74,88.8,157,164,13.0,76,15.42,1.69,45.71,2.25,0.0,0.55,0.02643,1.31634,10928,6644,7718,1280,1491,392,17572,22598,714,458,25333,1695,1537,2971,1882,-1017,-1199,802,150,62.31,42.58,70.62,46.32,-11.77,7030,6720,7130,7400,10050,10050,6320,1,1,1,1,88,41,0.0,0.66,0.67,0.14,1.22,1.36,0.07,1.62,1.69,0.02,1.52,1.54,-0.15,1.32,1.17,300,218,-10.1727,29,95,179,1,0,0,0,0,11545,17402,0,1,20220516,25.0,11.4,212.2,382.1,-15.3,311.5,306.4,-1.0,13.4,13.4,62.5,56,21,1080,1,1,1,1,1,1,1,1,1,9,17.8,10.9,6.8,-0.7,11.1,17.0,49.4,-4.7,-1.3,15.2,-16.5,0.6,-3.3,21.5,-2.6,450.0,-6.1,82.5,121.5,36.1,266.6,276.0,-33.1,-78.8,31.4,-58.9,20.1,-7.2,-53.7,154.5,498.5,334.1,-604.5,11.2,163.7,104.2,156.9,909.4,-307.0,2232.5,-88.7,1889.1,38.3,-166.6,227.3,498.5,334.3,-604.5,11.2,163.7,104.2,156.9,909.5,-306.9,2232.4,-88.7,1889.1,38.3,-166.6,227.3,18508,120,-66,19768,219,-465,19624,485,-413,21801,660,263,-244,-1720,-1528,973,4476,3528,5348,6272,5238,5271,5098,6193,-103,-117,287,419,172,207,192,89,-208,-306,24,77,9,174,240,-160,-771,-1130,88,286,32,643,890,-592,754.0,6035,226,204,,0.3389830508474576,62.5,0.8130081300813008,152.0,2.857142857142857,55.0,10.0,48.5,79.5,855.0,316.0,21.0,275.0,366.75,820.5,364.5,713.5,632.8333333333334,223.125
9,A053060,세동,자동차 및 관련부품,기타 자동차부품,코스닥,1605,280,1745,0,0.0,0.0,-2.4,-8.8,28.4,29.4,22.1,10.3,-1.8,3.3,11.53,9.6,12.7,-2.4,4.13,8.04,5.66,21.22,-88.4,31.87,7.07,13.97,1.49,-23.33,2.2,0.21,0.2,0.2,0.0199,0.001506,4.09,6.2,0.56,1.74,1.14,-3.5,3.59,-40.23,3.59,0.95,8.23,11.35,4.91,2.5,-197.14,52,70.02,545,546,5.0,270,0.0,0.0,0.0,0.0,0.0,0.0,0.04085,0.0,933,171,381,100,174,135,1104,1379,57,78,1403,446,82,127,20,-50,26,32,0,18.08,19.05,83.35,-5.09,-78.31,1250,1240,1315,1455,1635,2195,1065,0,1,1,1,73,51,0.0,-0.15,-0.15,-0.04,1.17,1.13,-0.3,0.35,0.05,-0.28,0.83,0.55,0.35,0.71,1.06,443,103,-2.29644,-63,108,166,1,0,0,0,0,588,3352,0,1,20220516,107.9,104.9,180.8,-154.5,239.1,221.2,137.7,9.5,271.7,175.7,150.0,38,28,-12,0,1,0,1,1,1,0,1,1,6,-5.8,15.7,4.6,-18.9,11.1,-0.7,39.2,-2.3,14.2,17.9,-18.6,9.0,-7.8,39.5,-16.0,204.2,261.2,87.5,-1566.7,150.0,76.9,86.7,6465.0,798.3,751.7,-286.5,-3.0,388.0,62.3,35.3,83.3,240.1,-47.6,-41.9,92.0,74.7,103.5,151.6,-118.0,770.0,-141.3,118.5,233.8,-170.5,1636.9,90.0,180.4,-47.7,-14.7,94.1,80.9,102.1,130.9,-113.3,630.8,-138.6,114.7,233.5,-170.6,1636.9,1408,-24,-42,1473,-3,-62,1194,-50,-88,1326,25,-7,-402,-594,-681,-40,297,231,304,362,295,321,296,414,-19,-33,0,2,-4,-4,13,21,-44,-58,-13,27,-11,2,7,-5,-416,-555,-126,206,-80,12,39,-28,423.0,348,28,74,,1.0526315789473684,21.5,0.45454545454545453,226.0,0.8771929824561404,735.5,5.0,145.0,282.0,62.0,846.5,66.0,37.0,252.875,1271.5,990.0,368.0,876.5,267.4375
