이익성장률 (2년예상),,코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),과거 ROA (%),과거 PCR,분기 PCR,과거 PFCR,분기 PFCR,과거 PSR,발표 PSR,발표 분기 PSR,발표 PEG,발표 분기 PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,발표 분기 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),영업이익/차입금 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),BPS,EPS,EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,상속세 괴리율 (%),예상가 괴리율 (%),예상가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,상속 주가 (원),예상 주가 (원),22년1Q 호실적 100기업,2Q 발표 =1,실적 발표일,GP/A 증가율 (최근분기),GPM 증가율 (최근분기),ROA 증가율 (최근분기),FCFF 증가율 (최근분기),발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),발표BPS증가율 (최근분기),(영업이익/차입금) 증가율,매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 18년->21년 3년간 YOY,매출액 연환산 YOY,매출액 19년 YOY,매출액 20년 YOY,매출액 21년 YOY,매출액 21년2Q YOY,매출액 21년3Q YOY,매출액 21년4Q YOY,매출액 22년1Q YOY,매출액 22년2Q(E) YOY,매출액 21년2Q QOQ,매출액 21년3Q QOQ,매출액 21년4Q QOQ,매출액 22년1Q QOQ,매출액 22년2Q(E) QOQ,영업이익 18년->21년 3년간 YOY,영업이익 연환산 YOY,영업이익 19년 YOY,영업이익 20년 YOY,영업이익 21년 YOY,영업이익 21년2Q YOY,영업이익 21년3Q YOY,영업이익 21년4Q YOY,영업이익 22년1Q YOY,영업이익 22년2Q(E) YOY,영업이익 21년2Q QOQ,영업이익 21년3Q QOQ,영업이익 21년4Q QOQ,영업이익 22년1Q QOQ,영업이익 22년2Q(E) QOQ,순이익 18년->21년 3년간 YOY,순이익 연환산 YOY,순이익 19년 YOY,순이익 20년 YOY,순이익 21년 YOY,순이익 21년2Q YOY,순이익 21년3Q YOY,순이익 21년4Q YOY,순이익 22년1Q YOY,순이익 22년2Q(E) YOY,순이익 21년2Q QOQ,순이익 21년3Q QOQ,순이익 21년4Q QOQ,순이익 22년1Q QOQ,순이익 22년2Q(E) QOQ,EPS 18년->21년 3년간 YOY,EPS 연환산 YOY,EPS 19년 YOY,EPS 20년 YOY,EPS 21년 YOY,EPS 21년2Q YOY,EPS 21년3Q YOY,EPS 21년4Q YOY,EPS 22년1Q YOY,EPS 22년2Q(E) YOY,EPS 21년2Q QOQ,EPS 21년3Q QOQ,EPS 21년4Q QOQ,EPS 22년1Q QOQ,EPS 22년2Q(E) QOQ,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년 매출액,20년 영업이익,20년 순이익,21년 매출액,21년 영업이익,21년 순이익,18년 EPS,19년 EPS,20년 EPS,21년 EPS,매출액 20년2Q,매출액 20년3Q,매출액 20년4Q,매출액 21년1Q,매출액 21년2Q,매출액 21년3Q,매출액 21년4Q,매출액 22년1Q,영업이익 20년2Q,영업이익 20년3Q,영업이익 20년4Q,영업이익 21년1Q,영업이익 21년2Q,영업이익 21년3Q,영업이익 21년4Q,영업이익 22년1Q,순이익 20년2Q,순이익 20년3Q,순이익 20년4Q,순이익 21년1Q,순이익 21년2Q,순이익 21년3Q,순이익 21년4Q,순이익 22년1Q,EPS 20년2Q,EPS 20년3Q,EPS 20년4Q,EPS 21년1Q,EPS 21년2Q,EPS 21년3Q,EPS 21년4Q,EPS 22년1Q,EPS 22년2Q(E),발표치 22년2Q  매출액,발표치 22년2Q  영업이익,발표치 22년2Q  순이익,Unnamed: 272,발표 분기 PER_역수,발표 분기 PER_rank,분기 PFCR_역수,분기 PFCR_rank,발표 PBR_역수,발표 PBR_rank,발표 분기 PSR_역수,발표 분기 PSR_rank,밸류종합순위,영업이익 22년2Q(E) YOY_순위,영업이익 22년2Q(E) QOQ_순위,순이익 22년2Q(E) YOY_순위,순이익 22년2Q(E) QOQ_순위,이익모멘텀_종합순위,과거GP/A_rank,자산증가율 (최근분기)_rank,(영업이익/차입금) 증가율_rank,퀄리티_종합순위,밸류_이익모멘텀_종합순위,울트라_normal_종합순위
,0,A058430,포스코스틸리온,철강 및 비철강,강판,코스피,34100,2046,600,0,0,0,-1.7,6.4,8.4,-35.2,-35.7,-42.1,-50.9,100,32.32,14.2,11.71,3.5,9.42,6.72,6.4,4.71,9.6,26.58,14.95,3.7,1.49,4.39,1.53,0.14,0.14,0.14,0.025952,-0.056944,1.26,1.76,0.25,0.73,0.58,6.8,2.18,1.83,2.18,2.87,1.14,1.31,1.48,2.01,90.03,100,163.76,87,87,155,30,5.86,2.93,117.95,5.75,0,0.92,0.03114,1.30034,2930,3359,4772,1849,152,0,6289,14686,1384,940,58950,15661,1715,2028,553,30,-9,87,1000,5.76,8.45,9.89,-31.87,-41.78,31450,52600,53000,58900,69400,70900,31450,1,1,0,0,48,8,0,-0.1,-0.1,-0.09,0.05,-0.04,-0.59,-0.24,-0.83,-1.69,0.53,-1.16,-2.18,-0.79,-2.97,203,132,0.98686,158,360,32,1,0,0,0,0,88154,156940,0,1,20220721,130.8,93.9,366,-51.2,47.9,33.1,39,29.1,32.5,32.5,453.6,43,47,466,1,1,1,0,1,1,1,1,1,8,43.3,38.3,-2.5,-1,48.5,61.9,72.9,49.7,33.2,10.9,34.7,14.4,-6.8,-7.2,12.2,705.1,104.7,-43.8,69,747.9,1169.1,924.3,539.7,89.6,-41.1,200.1,29.6,-46.4,-9,-6.8,806.2,84,-76.1,133.3,1525.4,8225.1,921.7,2136.6,92,-50.4,242.9,16.7,-66.2,41.7,-11.4,806.2,84,-76.1,133.3,1525.4,8225.1,921.7,2136.6,92,-50.4,242.9,16.7,-66.2,41.7,-11.4,9403,178,113,9167,100,27,9073,169,63,13473,1433,1024,1883,450,1050,17067,2106,2255,2428,2531,3409,3899,3635,3371,34,55,47,144,431,559,299,272,4,41,6,105,359,419,142,201,72,683,106,1744,5980,6982,2363,3349,2967,3781,254,178,,0.348432056,90,0.653594771,82,1.724137931,296,7.142857143,115.5,145.875,36,27,38,35,34,297,1756.5,143,732.1666667,89.9375,304.0138889
,1,A018500,동원금속,자동차 및 관련부품,차체부품,코스피,899,420,4675,1,0,0,-0.1,0.7,17.4,-6.3,2.3,-11,-14,5.9,13.99,16.5,16.21,0.7,3.02,3.85,5.86,10.33,-15.4,36.97,4.97,0.93,1.81,1.24,1.37,0.11,0.11,0.1,0.010244,0.003936,1.26,2.31,0.32,1.01,0.68,-8.4,1.85,1.85,1.85,0.98,4.38,3.57,3.59,2.62,-574.52,29,52.15,644,644,6,344,0,0,-100,6.71,0,0,0.02012,1.04349,3954,614,1541,673,373,85,4568,3874,117,227,1314,485,544,641,450,-141,-398,110,0,0.12,0.76,0.93,-84.21,-87.09,766,959,879,1010,1045,1055,766,0,1,0,0,85,17,0,-0.01,-0.01,0,-0.04,-0.04,0.11,-0.09,0.02,0.11,-0.64,-0.53,0.34,-0.78,-0.44,239,112,-11.7915,26,178,124,1,0,0,0,0,1141,2506,0,0,20220530,37.5,27.8,182.9,257.9,1043.8,177,142,-2.6,92,92.1,700,52,63,340,1,1,1,1,1,1,1,1,1,9,-15.5,4.8,-0.4,-19.1,4.8,-3.2,82.4,-0.1,-16.5,,-19.5,-7.8,-2.4,15.2,,239.3,1099.1,346.4,-105.8,1075,279.5,206.2,-78.9,243.2,,172.9,109.5,-66.5,179.7,,229,180.7,196.6,-265.3,180.8,160.9,123.3,328.9,248.9,,210,-80,49.7,352.6,,229,180.6,196.6,-265.3,180.8,160.8,123.3,329.1,249,,209.9,-80,49.9,352.8,,4586,-84,-176,4566,207,170,3695,-12,-281,3874,117,227,-376,364,-601,486,1037,507,904,1247,1004,925,903,1041,-11,-40,68,-28,20,43,14,40,-130,-68,-10,-72,79,16,24,108,-279,-146,-22,-154,170,34,51,230,,0,0,0,,1.020408163,28.5,0.729927007,68,1.470588235,405.5,10,67.5,142.375,,,,,,1072.5,317.5,95.5,495.1666667,142.375,318.7708333
,2,A037710,광주신세계,유통,백화점,코스피,33050,2644,800,4,0.5,0,0,0,0,-11.3,2.3,-14.8,-11.2,-4.5,18.47,91.2,91.05,30.4,0,35.31,0,32.14,7.4,7.19,6.29,3.91,11.6,4.43,82.01,1.53,0,0,0.293452,0.478218,1.73,1.24,0.31,0.48,0.35,6.4,4.91,4.93,4.93,4.83,1.09,4.28,4.28,4.4,41.34,232,234.61,14,14,133753,1,25.82,5.14,328.15,5.56,0.41,1.61,0.01902,0.63183,1065,7458,2158,27,4125,0,8523,0,618,536,93225,6705,618,1573,676,226,-56,79,1700,1.11,1.89,1.35,-41.22,-17.61,33050,37250,32300,38800,37200,46500,32300,0,0,0,0,71,2,-0.02,-0.01,-0.02,-0.17,0,-0.17,-0.17,0.04,-0.13,-0.59,-0.07,-0.66,-0.66,0.11,-0.55,254,12,0.15498,125,103,218,1,0,0,0,0,74375,67136,0,0,20220708,7.1,1.6,9.9,-15.6,-100,-100,10.4,6.2,5.8,5.8,150.7,32,5,597,1,1,1,1,0,1,1,1,1,8,25.7,-100,14.6,-4.8,15.3,5.9,19.7,16.6,6.5,0,3.1,-4.9,26.5,-14.1,0,21,18.5,10,-12.3,25.5,12.6,39.5,20.3,8.6,0,6.2,-16.4,60.6,-23.9,0,16.2,16.7,5.8,-9.4,21.3,11.4,31.2,18.4,10.1,0,5.6,-12.7,34.1,-11,0,16.2,16.8,5.8,-9.4,21.3,11.4,31.2,18.4,10.1,0,5.6,-12.7,34.1,-11,0,1352,501,451,1549,551,477,1475,483,432,1700,606,524,5638,5963,5400,6550,389,327,425,400,412,392,496,426,131,88,164,138,147,123,198,150,118,87,130,124,131,115,154,137,1473,1091,1622,1554,1641,1432,1921,1710,0,487,0,0,,0.207039337,234,0.012193635,744,2.857142857,78.5,inf,13,267.375,27,23.5,23,22.5,24,744,922,375,680.3333333,145.6875,323.9027778
0.1,3,A016090,대현,섬유 및 의류,의류,코스피,2165,959,4428,0,0,0,-1.6,7.7,13.1,-21.1,11.9,-27.5,-25.1,-12.3,60.22,56.9,57.16,5.6,8.03,8.94,7.05,7.52,7.4,9.46,7.46,2.91,1.95,3.75,2.35,0.32,0.32,0.3,0.051342,0.105181,1.97,1.44,0.35,0.58,0.43,7.7,4.59,4.59,4.59,4.06,2.46,4.03,4.03,3.41,79.56,133,323.44,27,27,1664,1,20.71,4.16,89.83,4.75,0.73,1.3,0.03775,1.49754,591,2210,1354,795,861,0,2801,2964,238,209,4989,472,238,1686,330,-318,-57,74,90,3.77,4.66,3.82,-19.08,-1.38,1915,2745,1935,2985,2890,3770,1915,1,1,0,0,57,13,-0.05,-0.05,-0.1,0.03,0.22,0.25,-0.3,0.17,-0.13,0.14,-0.15,-0.01,1.48,-6.29,-4.81,234,22,0.7429,95,118,193,1,0,0,0,0,4228,4729,0,0,20220512,10.6,7.7,71,60,114.7,66.7,76.7,10.8,7.3,7.3,212.8,34,107,256,1,1,1,1,0,0,1,1,1,7,0.6,13.7,4.6,-15.5,13.7,11.8,9.5,19.2,12.2,,-7.4,-13.9,73.5,-18.9,,25.1,144.4,12.8,-64.9,215.5,557.8,219.9,292.2,24.1,,-48.3,-39,574.4,-41.6,,28,89.5,10.7,-45.8,113.3,202.7,-35.3,249,38.6,,-34.6,-33.1,453.1,-42.7,,28,89.4,10.7,-45.8,113.3,202.5,-35.3,249,38.6,,-34.5,-33.1,453,-42.7,,2863,179,150,2996,202,166,2532,71,90,2879,224,192,339,375,203,434,581,511,814,701,649,559,970,786,4,6,31,57,29,18,120,70,9,29,30,43,28,19,103,59,21,65,67,96,63,42,233,133,,0,0,0,,0.246305419,176.5,0.425531915,125,2.325581395,149.5,3.333333333,323.5,193.625,,,,,,75,1182.5,284.5,514,193.625,353.8125
,4,A000270,기아,자동차 및 관련부품,완성차,코스피,80900,327939,40536,443,1.1,0,-1.3,2.3,4.8,-3.1,2.3,-3,-6.4,85.6,19.96,19,19.56,3.5,8.44,10.21,7.05,8.6,6.3,14.42,7.77,5.09,8.52,6.58,12.6,0.46,0.44,0.37,0.117905,0.108728,5.51,1.72,0.35,0.66,0.89,10.3,6.12,6.89,6.19,4.36,3.15,5.86,5.17,3.67,-8.35,101,135.41,96,96,58,28,25.27,3.71,215.79,4.81,0.97,1.16,0.01762,0.86841,333470,348417,306101,77517,193785,172827,681887,751744,63427,52963,90592,13066,78462,136219,64446,-30186,-18761,14636,3000,1766.27,1239.8,1181.51,42.46,49.49,77200,83500,79100,83400,86400,88100,68800,0,1,0,1,92,18,-0.02,-0.06,-0.08,-0.05,0.08,0.03,0.09,-0.14,-0.05,-0.5,1.42,0.92,-0.16,1.32,1.16,93,154,0.54412,17,61,307,1,0,0,0,0,95196,130843,0,1,20220722,20.6,9.8,120.3,0.9,42.3,38.2,33.6,6.6,14.2,14.2,132,11,39,49810,1,1,1,1,1,1,1,1,1,9,29,10.3,7.3,1.8,18.1,61.3,8.8,1.6,10.7,19.3,10.6,-3.2,-3.2,6.8,19.2,337.6,57,73.6,2.8,145.1,924.5,579.7,-8.3,49.2,50.2,38.2,-10.8,-11.4,36.7,39.1,311.8,52.5,58,-18.6,220,963.2,748.8,29.8,-0.2,40.1,29.7,-15.5,10,-17.2,82.1,311.8,52.5,58,-18.6,220,963.2,748.8,29.8,-0.2,40.1,29.7,-15.5,10,-17.2,82.1,541698,11575,11559,581460,20097,18267,591681,20665,14876,698624,50657,47605,2852,4506,3670,11744,113688,163218,169106,165817,183395,177528,171884,183572,1452,1952,12816,10764,14872,13270,11751,16065,1263,1337,9616,10350,13429,11347,12478,10328,312,330,2372,2553,3313,2799,3078,2548,4640,218760,22341,18811,,0.229357798,201.5,0.079365079,463.5,1.123595506,618,2.702702703,406,422.25,15,11,11,6,10.75,679,947.5,421,682.5,216.5,371.8333333
,5,A003960,사조대림,식음료,식료품,코스피,24700,2264,916,181,19.8,0,1.7,8.3,7.4,-33.5,-2.4,-12.1,-5.7,40.3,23.4,13.7,12.67,4.4,5.37,4.67,3.34,2.64,13.3,14.35,5.7,2.41,0.83,2.47,0.87,0.12,0.12,0.12,0.09264,-0.91875,1.9,0.9,0.34,0.57,0.52,4,2.92,3.65,3.65,4.41,2.96,2.27,2.27,2.49,-33.57,63,109.31,122,152,30,61,3.52,1.21,168.42,1.84,0,0.38,0.03034,1.08602,6560,4327,5800,2460,1507,742,10887,18597,999,621,47207,6771,1323,2543,938,-464,-389,22,300,7.82,4.46,4.2,75.19,86.23,23000,37150,25300,28100,26200,38200,22800,1,1,0,0,65,8,0.06,-0.03,0.02,0.07,-0.05,0.02,0.06,-0.19,-0.13,0.32,0.59,0.91,-0.43,1.76,1.33,73,52,0.47785,135,174,130,1,0,0,0,0,58115,67862,0,0,20220513,12.4,9,35,61.3,43.2,31,20.6,3.3,15.7,15.6,76.5,25,48,916,1,1,1,1,1,1,1,1,1,9,93.5,6.5,41.9,29.2,5.6,5.8,0.8,9.3,10.4,,-1.2,8.6,-1.8,4.8,,181.8,52.4,36.6,-0.4,107.1,147.1,54.7,141.7,-9.5,,-3.8,55.3,-59.1,48.1,,533.3,39.5,734.3,-59.1,85.5,91.4,28,115.3,-4.8,,47.4,11.4,-67.7,79.4,,311.9,39.4,442.7,-59.1,85.5,91.3,28.1,115.3,-4.8,,47.3,11.4,-67.7,79.3,,9371,363,99,13297,496,826,17181,494,338,18137,1023,627,1661,9013,3688,6842,4118,4694,4247,4407,4357,4730,4643,4868,98,243,64,251,242,376,154,227,104,173,33,135,199,222,72,128,1134,1888,363,1473,2170,2417,782,1402,,0,0,0,,0.22675737,206,1.149425287,46,1.923076923,230.5,8.333333333,96,144.625,,,,,,530,716,630.5,625.5,144.625,385.0625
,6,A004170,신세계,유통,면세점,코스피,217500,21413,984,1,0.1,0,-0.2,4.1,-0.2,-12.1,-1.6,-13.5,-20.6,-19.4,34.09,60.7,63.27,6.9,8.24,9.26,5.29,6.85,5.9,9.35,2.97,2.22,3.65,5.26,7.1,0.32,0.32,0.3,0.005577,0.060631,3.35,1.15,0.54,0.75,0.56,11.8,5.98,5.98,5.98,4.42,5.05,3.84,3.84,3.27,-276.67,37,56.67,141,215,11,84,9.62,1.38,114.29,1.25,0.41,0.43,0.01902,0.96567,82147,38291,22903,7811,44034,10061,120438,67630,5575,3579,388936,36350,12089,41028,9667,-8920,3122,5598,3000,45.41,83.96,85.81,-45.91,-47.08,218000,247500,221000,251500,274000,281000,208500,1,1,0,0,77,4,0.01,-0.02,-0.02,-0.04,0.1,0.06,-0.6,-0.1,-0.7,-0.6,1.19,0.59,1.02,2.94,3.96,105,3,2.18458,11,67,291,1,0,0,0,0,243251,364234,0,0,20220511,55.1,18.3,1022,-38.4,98.1,805.3,1002.3,5.4,7.8,7.8,175,13,42,4069,1,1,1,1,1,1,1,1,1,9,21.8,38.2,23.3,-25.4,32.4,37.6,37.3,43.9,33.8,,5.7,19.5,16,-8.7,,30.2,174.2,17.7,-81.1,484.6,298.2,307.1,89.2,32.4,,-22.1,6.4,90.6,-16.2,,28.4,1072.3,120.3,-119.7,396.4,103.6,3215.6,367.6,72.9,,-94.1,4183,-67.4,111.6,,28.4,1072.3,120.3,-119.7,396.4,103.6,3215.6,367.6,72.9,,-94.1,4183.1,-67.4,111.6,,51857,3974,2390,63942,4678,5264,47693,885,-1035,63164,5174,3068,24276,53468,-10513,31162,10144,12144,13436,13200,13953,16671,19340,17665,-486,252,1032,1236,962,1024,1952,1636,-1134,-56,122,700,41,1756,572,1210,-11517,-572,1242,7108,416,17832,5808,12293,,0,0,0,,0.226244344,207.5,0.14084507,326,1.785714286,275,3.333333333,323.5,283,,,,,,266,865.5,339,490.1666667,283,386.5833333
,7,A032580,피델릭스,반도체 관련장비 및 부품,반도체 제조,코스닥,1520,504,3313,2,0.1,0,1.7,6.3,13.9,-9.5,11.4,19.2,1,1.3,36.99,23.9,30.18,0.2,9.47,16.19,7.5,15.36,-3.1,15.02,11.62,3.4,3.23,3.41,3.24,0.62,0.62,0.76,0.042783,0.010515,10.18,2.54,0.66,1.4,1.24,-49.3,8.25,8.21,8.21,4.94,5.15,6.53,6.55,4.68,66.87,414,573.91,28,29,166,12,0,0,-100,1.6,0,0,0.03014,1.12232,119,406,456,127,55,0,525,813,77,61,1224,185,77,194,149,-17,-25,1,0,49.99,11.45,4.84,336.44,932.15,1335,1680,1365,1275,1505,1930,1195,1,1,0,0,79,27,0,-0.2,-0.2,0,-0.11,-0.11,-0.23,-0.41,-0.64,0.09,1.61,1.7,-0.72,-0.11,-0.83,104,87,109.073,-57,21,450,1,0,0,0,0,643,1843,0,0,20220428,294.4,181.2,203.4,55.8,224.8,173.7,192.6,-1.6,9.8,8.8,333.8,56,62,148,1,1,1,1,1,1,1,1,1,9,2.9,38.1,-25.7,4.8,32.2,10.7,54.2,63,27.9,,45.8,12.8,13.6,-31.6,,5.6,272.2,-113.9,-640,202.7,270.6,251.7,247,321.2,,216.6,10.8,29.7,32,,-17.1,201.7,-134.3,-333.3,155.8,107.1,510.5,139.5,473.2,,121.6,1514.2,-56.2,143.8,,-46.4,191.9,-128,-258.3,153.5,105.7,494,137.9,469.8,,121.5,1515.2,-56.2,143.5,,754,36,35,560,-5,-12,587,-37,-52,776,38,29,163,-46,-163,88,171,139,149,130,190,214,243,166,-8,-10,-14,-12,14,16,20,27,-21,-6,-27,-7,1,24,10,26,-79,-18,-83,-21,4,72,32,77,,0,0,0,,0.20242915,241,0.308641975,175,0.806451613,972.5,1.315789474,812.5,550.25,,,,,,226,370,179,258.3333333,550.25,404.2916667
0.05,8,A005440,현대그린푸드,식음료,식료품,코스피,7670,7494,9770,1040,10.6,0,0.9,3.2,0.5,-16.3,4.9,-20.4,-24.8,-38.9,22.29,16.7,17.27,3,1.67,2.51,1.23,3.28,4.8,2.42,1.64,8.47,3.66,46.84,5.23,0.21,0.21,0.2,-0.483761,2.66522,6.96,1.7,0.39,0.66,0.41,13.9,15.19,16.98,16.98,6.13,5.29,12.53,12.53,7.99,14.54,121,178.98,39,48,61,5,42.19,2.74,84.97,2.45,0.24,0.86,0.01632,0.86038,8686,18214,9776,3193,13076,6689,26900,35911,598,441,18641,452,1305,5983,884,25,-869,724,210,7.57,9.44,10.13,-19.78,-25.27,7630,9160,7310,9630,10200,10200,7310,1,1,0,0,75,5,-0.02,0.03,0,-0.13,0.09,-0.04,-0.14,0.19,0.05,0.17,0.21,0.38,0.25,-0.56,-0.31,314,5,1.69888,40,-41,904,1,0,0,0,0,10771,4519,0,0,20220512,12.1,-2.2,-33,-69.2,-22.7,-41.4,-34,-3,-1.7,-1.7,17.3,45,32,160,1,1,0,1,1,0,1,0,1,6,7.2,11.1,-3.9,3.7,7.6,9.4,10.6,11.8,12.7,,3.9,4,1.3,3,,-57.3,-14.3,-34.5,-12.6,-25.4,17.5,-39.9,-266.5,5.4,,16.4,-45.8,-125.3,760.9,,-57.8,-35.1,-46.8,29.7,-38.8,17.8,36.8,-1255.7,2.3,,-21.4,21.8,-234.8,179.2,,-57.8,-35.1,-46.8,29.7,-38.8,17.8,36.8,-1255.8,2.3,,-21.4,21.8,-234.8,179.2,,32517,1372,1031,31243,899,548,32385,786,711,34861,586,435,1055,561,728,445,7858,8081,8099,8273,8596,8939,9052,9323,220,234,21,222,259,140,-35,234,200,209,-28,299,235,286,-386,306,204,214,-29,306,241,293,-395,313,,0,0,0,,0.163132137,319,0.191204589,263,2.43902439,127.5,5,186,223.875,,,,,,574,307,946,609,223.875,416.4375
,9,A068790,DMS,디스플레이 장비 및 부품,디스플레이 장비,코스닥,5260,1293,2457,13,0.5,0,0,5.6,14.7,-17.8,-13.9,-15.3,-30.9,2.9,22.48,36.2,37.02,11.4,15.47,16.71,14.36,16.49,12.6,12.97,8.92,5,5.48,5.88,4.44,0.53,0.53,0.56,12.2667,0.124088,1.77,2.18,0.39,0.89,0.48,6.5,3.67,3.68,3.68,3.4,2.02,3.42,3.42,3.35,106.11,195,212.84,42,45,191,7,7.38,1.9,126.67,1.82,0,0.59,0.02123,1.08328,1228,2707,2600,221,763,59,3935,2444,378,351,11012,1430,431,884,259,316,-498,39,100,5.02,2.9,2.5,72.97,100.38,4585,6400,6110,6210,7610,8780,4585,1,1,0,0,60,15,0,-0.01,-0.01,0,0.01,0.01,0,-0.2,-0.2,-0.11,-0.59,-0.7,-0.59,-0.18,-0.77,354,23,0.81159,138,172,132,1,0,0,0,0,12565,14311,0,0,20220516,15.6,7.7,-4.5,-63.4,7.2,-11.1,-13.4,5.7,16.5,16.4,324.4,45,33,220,1,1,0,0,1,1,1,1,1,7,-24.5,13.4,-34.3,15.6,-0.7,3.9,-4.6,19.1,48.9,,59.3,-3.9,10.3,-11.8,,5.6,21.6,-25.1,48.9,-5.3,-3.3,-18.1,33.9,147.5,,114.5,-4.6,47.5,-18.1,,117.8,0.9,13.8,134.7,-18.5,606.3,415.6,-82.9,27.4,,37.3,10.4,-64.2,135,,104.1,0.3,13.8,120.1,-18.5,562.9,383.9,-82.9,27.4,,37.3,10.3,-64.2,134.9,,2987,303,152,1962,227,173,2269,338,406,2254,320,331,660,751,1652,1347,595,622,550,388,618,594,655,577,86,97,88,39,84,80,118,96,15,22,237,75,103,113,41,95,63,95,964,304,417,461,165,387,,0,0,0,,0.294117647,132.5,0.225225225,231,2.083333333,188,1.785714286,614.5,291.5,,,,,,563,888.5,186,545.8333333,291.5,418.6666667
